Feedback_ID,Customer_ID,Response_Date,Source_Type,Customer_Service,Banking_Products,Transaction_Process,Digital_Banking,ATM_services,Complaints_and_Resolution,Financial_Advice,Security_and_Privacy,Account_Management,Fees_and_Pricing,NPS
FD_0031,C_0908,07-01-20,Mail,4,2,5,4,5,1,1,4,3,1,9
FD_0032,C_0804,08-01-20,Telephonic,2,1,2,4,1,5,5,1,4,3,3
FD_0033,C_0656,08-01-20,Telephonic,5,5,3,5,1,3,4,3,1,4,4
FD_0034,C_0295,08-01-20,Mail,2,3,3,4,4,3,2,3,1,5,9
FD_0035,C_0626,08-01-20,Online,1,5,3,2,3,5,3,2,2,4,5
FD_0036,C_0646,08-01-20,Online,3,1,4,3,1,2,2,5,4,4,9
FD_0037,C_0615,08-01-20,Telephonic,1,4,1,2,2,2,5,1,2,2,9
FD_0038,C_1281,09-01-20,Online,5,4,4,2,1,4,2,4,5,3,2
FD_0039,C_0385,09-01-20,Online,4,4,3,1,5,4,1,2,4,2,5
FD_0040,C_0342,09-01-20,Mail,4,1,1,5,4,2,1,3,5,4,6
FD_0041,C_0050,09-01-20,Telephonic,2,1,5,4,2,2,2,3,3,5,8
FD_0042,C_0051,09-01-20,Telephonic,3,4,1,5,2,1,1,5,1,2,9
FD_0043,C_0153,09-01-20,Mail,4,2,5,5,5,4,3,5,4,1,3
FD_0044,C_0570,09-01-20,Telephonic,2,5,2,5,2,2,2,3,3,4,3
FD_0045,C_0684,09-01-20,Telephonic,1,1,2,4,1,2,3,4,2,2,8
FD_0046,C_1459,09-01-20,Mail,4,4,1,3,1,2,4,2,2,4,4
FD_0047,C_1021,10-01-20,Online,1,4,4,5,2,1,3,1,4,4,5
FD_0048,C_0461,10-01-20,Online,3,1,1,4,4,5,2,1,2,4,6
FD_0049,C_0571,10-01-20,Telephonic,2,4,3,3,3,3,2,5,2,2,6
FD_0050,C_1114,10-01-20,Mail,2,5,2,2,5,1,1,3,5,3,5
FD_0051,C_0058,11-01-20,Telephonic,2,5,2,1,3,4,1,3,5,3,3
FD_0052,C_1008,11-01-20,Mail,5,2,4,4,2,5,5,1,3,4,10
FD_0053,C_0554,11-01-20,Telephonic,5,3,5,1,5,1,2,2,3,1,10
FD_0054,C_0766,11-01-20,Online,5,5,4,3,3,3,2,3,5,2,5
FD_0055,C_1383,11-01-20,Online,4,2,3,1,2,2,1,2,1,1,1
FD_0056,C_0220,12-01-20,Telephonic,2,4,3,3,3,2,5,3,4,2,10
FD_0057,C_0041,12-01-20,Mail,2,1,2,4,1,1,3,1,1,2,4
FD_0058,C_0221,12-01-20,Telephonic,5,1,2,5,1,3,5,3,5,3,8
FD_0059,C_1274,12-01-20,Telephonic,3,3,1,1,4,5,3,5,4,1,2
FD_0060,C_1144,13-01-20,Mail,3,1,4,4,2,5,3,1,1,2,10
FD_0061,C_0636,13-01-20,Online,1,4,5,2,5,3,3,2,1,3,8
FD_0062,C_1306,13-01-20,Telephonic,1,1,3,2,4,2,4,1,5,4,4
FD_0063,C_0607,14-01-20,Mail,2,1,4,1,1,4,4,2,2,1,3
FD_0064,C_0050,14-01-20,Online,2,2,5,4,4,3,2,1,1,3,8
FD_0065,C_1282,14-01-20,Telephonic,3,2,4,5,3,4,2,2,2,5,5
FD_0066,C_1479,14-01-20,Online,2,3,5,4,5,5,5,3,1,1,3
FD_0067,C_0613,15-01-20,Telephonic,2,1,1,5,5,2,3,4,1,1,6
FD_0068,C_1257,15-01-20,Online,2,4,4,3,2,5,1,4,3,2,9
FD_0069,C_0332,15-01-20,Telephonic,5,4,4,1,3,3,1,1,3,3,8
FD_0070,C_0952,15-01-20,Telephonic,5,5,5,1,5,1,2,5,4,1,5
FD_0071,C_1045,16-01-20,Telephonic,1,3,5,3,5,4,2,1,3,3,5
FD_0072,C_0660,16-01-20,Telephonic,4,1,4,4,1,3,4,4,2,4,2
FD_0073,C_0627,17-01-20,Mail,2,1,2,1,2,4,1,3,1,3,9
FD_0074,C_0755,17-01-20,Online,4,1,2,4,2,4,2,5,3,2,5
FD_0075,C_0337,17-01-20,Telephonic,1,5,3,3,3,5,4,2,2,5,9
FD_0076,C_0472,17-01-20,Mail,1,4,4,4,4,5,5,1,1,2,7
FD_0077,C_0702,18-01-20,Mail,4,3,3,1,4,3,4,5,1,2,9
FD_0078,C_1029,18-01-20,Telephonic,5,2,4,4,1,2,3,2,1,3,1
FD_0079,C_0462,18-01-20,Mail,3,3,4,1,4,5,2,2,2,5,8
FD_0080,C_0088,18-01-20,Online,4,4,3,3,5,4,1,1,3,2,2
FD_0081,C_0887,18-01-20,Online,1,1,5,2,1,3,4,3,5,2,3
FD_0082,C_1166,18-01-20,Online,1,4,4,3,3,1,3,3,3,5,3
FD_0083,C_1029,19-01-20,Online,4,3,4,5,4,5,5,4,2,3,2
FD_0084,C_0103,19-01-20,Telephonic,3,2,1,2,4,2,2,1,5,3,3
FD_0085,C_1087,19-01-20,Online,2,1,1,3,3,2,5,3,4,2,6
FD_0086,C_0636,19-01-20,Mail,5,4,3,4,3,3,5,1,1,4,10
FD_0087,C_1346,19-01-20,Online,4,1,1,1,1,4,1,4,1,5,7
FD_0088,C_0722,20-01-20,Mail,1,4,1,4,4,5,5,3,5,1,9
FD_0089,C_1300,21-01-20,Mail,1,2,3,3,5,1,4,5,2,5,3
FD_0090,C_1365,21-01-20,Mail,5,5,4,5,2,5,1,2,3,4,2
FD_0091,C_1467,21-01-20,Mail,5,1,3,1,1,1,5,5,2,2,6
FD_0092,C_0604,21-01-20,Mail,5,5,4,1,1,5,2,1,1,1,2
FD_0093,C_0259,21-01-20,Mail,4,5,3,3,2,3,4,2,1,3,7
FD_0094,C_1120,21-01-20,Online,4,3,3,4,3,3,5,2,3,4,2
FD_0095,C_1127,21-01-20,Telephonic,5,3,4,5,5,4,3,2,3,1,6
FD_0096,C_1417,21-01-20,Online,1,1,4,5,5,5,4,2,2,5,3
FD_0097,C_0631,22-01-20,Online,3,1,4,3,4,2,2,3,2,2,1
FD_0098,C_1065,22-01-20,Online,2,3,4,5,5,5,1,4,4,3,6
FD_0099,C_1242,22-01-20,Telephonic,5,4,3,4,3,4,2,5,2,4,1
FD_0100,C_0316,22-01-20,Mail,1,2,2,5,3,3,1,4,2,4,2
FD_0101,C_1051,22-01-20,Telephonic,3,5,3,4,3,5,4,1,1,1,9
FD_0102,C_0964,23-01-20,Mail,3,3,1,3,5,1,5,4,1,1,9
FD_0103,C_0383,23-01-20,Mail,1,4,5,4,4,1,2,5,3,5,8
FD_0104,C_0070,23-01-20,Mail,4,5,1,4,4,2,2,3,1,2,1
FD_0105,C_1010,23-01-20,Online,1,4,4,5,4,1,4,3,3,3,5
FD_0106,C_1010,23-01-20,Mail,3,1,1,1,2,1,2,4,2,1,7
FD_0107,C_1267,23-01-20,Mail,1,3,4,3,1,1,5,2,4,2,2
FD_0108,C_0368,23-01-20,Telephonic,5,4,3,1,4,1,1,2,3,3,7
FD_0109,C_0159,23-01-20,Online,3,2,4,2,3,5,5,1,1,4,8
FD_0110,C_0629,23-01-20,Telephonic,3,4,3,1,1,2,4,2,4,1,5
FD_0111,C_0719,23-01-20,Mail,1,2,3,3,1,1,1,5,2,5,9
FD_0112,C_0364,23-01-20,Telephonic,4,4,1,3,3,4,1,4,5,4,3
FD_0113,C_0450,23-01-20,Mail,4,2,5,5,1,2,3,4,3,3,10
FD_0114,C_0969,23-01-20,Mail,3,5,2,4,4,1,1,5,1,5,4
FD_0115,C_0312,24-01-20,Mail,4,3,2,5,2,3,3,5,4,2,3
FD_0116,C_1205,24-01-20,Online,1,1,5,5,2,4,4,5,1,5,4
FD_0117,C_1251,24-01-20,Telephonic,2,3,3,3,2,5,3,3,1,4,1
FD_0118,C_0150,24-01-20,Online,1,1,2,1,5,2,4,4,5,4,8
FD_0119,C_0648,24-01-20,Mail,3,3,3,1,4,3,3,2,5,5,3
FD_0120,C_0998,24-01-20,Telephonic,4,1,2,3,4,5,3,3,1,4,2
FD_0121,C_1113,24-01-20,Telephonic,2,3,3,1,3,3,1,1,3,5,7
FD_0122,C_0056,24-01-20,Telephonic,3,3,1,5,2,3,3,3,2,3,9
FD_0123,C_0522,25-01-20,Online,1,5,3,4,1,5,2,4,3,2,2
FD_0124,C_0739,25-01-20,Online,2,4,4,5,3,2,5,2,1,5,9
FD_0125,C_0605,25-01-20,Online,5,1,2,5,1,2,3,1,4,3,9
FD_0126,C_1000,25-01-20,Online,5,2,2,2,3,5,2,3,3,4,6
FD_0127,C_1136,26-01-20,Telephonic,1,4,4,5,1,5,1,3,1,2,5
FD_0128,C_1010,26-01-20,Telephonic,2,2,2,4,4,3,3,3,1,5,3
FD_0129,C_0199,26-01-20,Online,1,4,2,4,2,5,3,2,4,1,9
FD_0130,C_0555,26-01-20,Online,2,3,2,1,4,5,1,2,4,5,9
FD_0131,C_0549,27-01-20,Online,1,1,2,4,1,2,2,5,1,2,5
FD_0132,C_1120,27-01-20,Telephonic,1,1,4,1,3,4,2,4,5,4,1
FD_0133,C_0919,27-01-20,Telephonic,4,5,2,5,2,5,1,2,1,2,7
FD_0134,C_0980,27-01-20,Mail,4,5,5,1,5,3,3,5,3,5,8
FD_0135,C_0810,28-01-20,Mail,5,4,2,2,2,5,3,5,5,4,3
FD_0136,C_0845,28-01-20,Mail,5,5,5,2,1,4,4,2,1,1,10
FD_0137,C_0342,29-01-20,Online,4,1,4,4,3,1,1,1,5,3,5
FD_0138,C_0572,29-01-20,Mail,1,5,4,2,4,3,5,1,5,4,5
FD_0139,C_0818,29-01-20,Telephonic,5,2,1,2,2,5,2,5,2,4,2
FD_0140,C_1380,29-01-20,Online,4,2,4,1,2,3,1,1,3,5,5
FD_0141,C_1308,29-01-20,Online,4,4,3,2,2,1,1,4,3,5,7
FD_0142,C_0434,30-01-20,Telephonic,3,1,3,5,2,5,1,3,5,2,9
FD_0143,C_0354,30-01-20,Mail,3,4,5,1,3,4,3,3,4,1,5
FD_0144,C_1483,30-01-20,Online,3,5,5,3,2,4,3,2,3,5,1
FD_0145,C_0504,30-01-20,Mail,1,5,1,1,5,1,3,3,3,1,6
FD_0146,C_0870,30-01-20,Online,1,3,1,3,3,1,2,2,5,2,5
FD_0147,C_0687,30-01-20,Telephonic,3,4,3,5,4,2,1,5,1,3,4
FD_0148,C_0450,31-01-20,Mail,5,3,1,1,3,2,5,3,3,5,5
FD_0149,C_1030,31-01-20,Telephonic,2,2,5,4,1,1,1,4,4,2,8
FD_0150,C_0973,01-02-20,Online,5,4,3,1,3,5,1,5,2,2,5
FD_0151,C_1347,02-02-20,Telephonic,4,3,5,2,3,3,2,5,1,2,3
FD_0152,C_0619,02-02-20,Online,5,1,3,3,5,5,3,3,1,3,6
FD_0153,C_1323,02-02-20,Mail,5,3,4,1,2,3,1,4,3,4,9
FD_0154,C_0046,02-02-20,Mail,1,1,2,3,1,3,1,3,2,5,8
FD_0155,C_1082,03-02-20,Mail,1,4,3,1,2,1,4,4,4,3,5
FD_0156,C_0757,03-02-20,Online,1,3,5,4,4,5,3,4,3,4,5
FD_0157,C_0013,03-02-20,Telephonic,1,4,2,3,1,5,5,1,1,5,5
FD_0158,C_0774,04-02-20,Online,3,3,4,3,5,1,2,2,2,5,9
FD_0159,C_0806,04-02-20,Telephonic,2,4,3,3,2,3,4,5,1,4,10
FD_0160,C_1112,04-02-20,Telephonic,1,1,5,1,1,2,5,1,5,4,1
FD_0161,C_1401,04-02-20,Mail,4,2,3,1,4,4,1,2,2,5,3
FD_0162,C_0883,04-02-20,Online,1,1,1,3,5,2,3,4,4,5,6
FD_0163,C_0714,05-02-20,Online,3,4,2,4,5,3,3,4,3,3,6
FD_0164,C_1428,05-02-20,Online,3,1,1,2,2,3,1,3,2,2,8
FD_0165,C_1132,05-02-20,Mail,4,3,5,3,5,4,4,3,2,4,9
FD_0166,C_0152,05-02-20,Online,3,2,1,3,3,1,1,1,1,4,3
FD_0167,C_1145,05-02-20,Telephonic,3,3,1,4,4,4,5,3,5,5,5
FD_0168,C_0595,05-02-20,Online,5,4,1,2,1,2,3,1,3,5,9
FD_0169,C_1111,05-02-20,Mail,1,5,3,1,3,2,4,4,5,4,6
FD_0170,C_0774,06-02-20,Telephonic,3,1,3,5,5,4,4,2,1,1,8
FD_0171,C_0783,06-02-20,Online,3,5,2,4,3,2,1,2,5,1,4
FD_0172,C_0217,06-02-20,Online,1,2,5,1,5,5,2,3,2,5,6
FD_0173,C_1302,06-02-20,Online,2,4,1,5,2,1,1,5,1,5,7
FD_0174,C_1493,06-02-20,Online,5,2,3,1,2,2,2,2,3,3,7
FD_0175,C_0398,06-02-20,Online,5,5,5,1,5,2,5,1,2,1,2
FD_0176,C_1471,07-02-20,Online,4,2,2,3,3,1,3,2,4,3,5
FD_0177,C_0261,07-02-20,Telephonic,4,3,1,2,1,1,4,4,4,4,8
FD_0178,C_0114,07-02-20,Online,1,2,3,2,3,3,3,2,5,4,3
FD_0179,C_0597,07-02-20,Online,4,1,5,2,5,2,5,4,3,3,4
FD_0180,C_1468,07-02-20,Online,3,2,1,1,1,1,4,2,3,1,2
FD_0181,C_0470,08-02-20,Telephonic,3,5,4,2,3,1,3,2,4,2,9
FD_0182,C_0174,08-02-20,Mail,2,1,2,5,5,4,1,3,1,5,5
FD_0183,C_1102,08-02-20,Online,2,3,5,3,1,2,2,4,2,2,10
FD_0184,C_1222,08-02-20,Mail,1,1,3,1,4,3,2,5,3,5,1
FD_0185,C_1286,09-02-20,Telephonic,1,4,1,2,3,1,5,2,3,4,1
FD_0186,C_1485,09-02-20,Online,5,2,4,4,5,3,3,1,1,3,9
FD_0187,C_0993,09-02-20,Telephonic,2,3,5,5,4,1,1,2,2,4,2
FD_0188,C_0399,09-02-20,Mail,4,1,3,1,1,1,5,4,4,3,8
FD_0189,C_0497,09-02-20,Online,2,5,2,3,2,1,2,2,2,3,6
FD_0190,C_0548,09-02-20,Online,2,5,5,1,5,3,4,1,1,4,10
FD_0191,C_1018,09-02-20,Mail,5,2,2,2,2,4,5,3,2,5,7
FD_0192,C_0812,09-02-20,Online,1,4,3,5,3,4,2,1,3,2,4
FD_0193,C_1097,09-02-20,Online,1,2,1,3,5,3,2,1,1,5,9
FD_0194,C_1098,09-02-20,Online,5,5,2,3,5,4,1,1,4,2,1
FD_0195,C_1151,09-02-20,Online,2,4,5,2,5,1,5,1,1,5,3
FD_0196,C_1431,10-02-20,Online,1,1,3,4,2,1,5,3,4,2,7
FD_0197,C_0505,10-02-20,Telephonic,1,3,3,3,2,1,1,1,3,5,3
FD_0198,C_0346,10-02-20,Online,5,2,4,3,3,1,4,3,4,4,10
FD_0199,C_1358,10-02-20,Telephonic,2,5,4,4,4,4,4,5,3,2,6
FD_0200,C_1067,11-02-20,Online,5,2,4,4,1,3,3,4,3,2,2
FD_0201,C_1093,11-02-20,Mail,1,4,2,3,4,2,3,1,1,3,6
FD_0202,C_1494,11-02-20,Online,3,4,3,5,3,5,4,2,5,3,7
FD_0203,C_1267,11-02-20,Telephonic,3,4,4,5,4,1,1,3,1,3,9
FD_0204,C_1074,11-02-20,Online,2,2,1,5,3,5,4,4,1,4,3
FD_0205,C_1491,11-02-20,Telephonic,1,2,3,5,1,5,1,4,3,5,1
FD_0206,C_0819,12-02-20,Telephonic,2,3,1,3,2,2,3,2,2,3,1
FD_0207,C_0903,12-02-20,Online,3,3,2,1,1,1,1,4,5,1,4
FD_0208,C_0131,12-02-20,Telephonic,2,5,2,2,1,1,2,1,4,1,3
FD_0209,C_0248,12-02-20,Online,5,1,4,2,4,5,5,3,1,4,10
FD_0210,C_0408,13-02-20,Mail,4,5,1,2,3,2,2,2,3,5,1
FD_0211,C_0408,13-02-20,Online,1,4,2,5,1,1,2,2,4,2,8
FD_0212,C_0334,13-02-20,Mail,4,1,4,5,4,5,2,2,4,2,8
FD_0213,C_0022,13-02-20,Online,3,3,4,4,1,3,4,3,2,5,9
FD_0214,C_0867,13-02-20,Mail,1,2,1,4,4,3,5,1,4,5,4
FD_0215,C_1400,13-02-20,Online,5,2,1,5,1,3,4,2,5,5,9
FD_0216,C_0452,13-02-20,Mail,5,1,5,5,2,3,5,5,1,5,9
FD_0217,C_1163,13-02-20,Online,4,1,3,1,5,3,3,4,3,5,6
FD_0218,C_0235,14-02-20,Mail,3,1,5,2,5,1,5,4,2,5,6
FD_0219,C_0207,14-02-20,Online,2,4,5,5,4,2,4,2,4,1,8
FD_0220,C_1024,15-02-20,Mail,2,2,5,2,4,3,4,1,3,5,6
FD_0221,C_0322,15-02-20,Online,1,5,1,4,5,1,3,3,2,1,8
FD_0222,C_0133,15-02-20,Online,5,5,2,4,3,1,4,4,3,3,3
FD_0223,C_0673,15-02-20,Online,5,1,5,5,4,5,4,4,1,2,4
FD_0224,C_0595,16-02-20,Mail,4,3,2,1,2,2,2,2,1,3,3
FD_0225,C_0182,16-02-20,Telephonic,1,1,4,5,1,3,5,1,2,4,7
FD_0226,C_1395,16-02-20,Mail,2,4,2,2,3,1,1,3,4,5,3
FD_0227,C_0274,16-02-20,Online,1,1,1,2,3,5,3,3,1,3,1
FD_0228,C_0913,17-02-20,Telephonic,1,1,1,1,5,3,4,2,1,3,8
FD_0229,C_0011,17-02-20,Mail,3,3,5,3,2,1,2,2,5,1,7
FD_0230,C_1414,17-02-20,Online,5,3,1,2,4,1,1,2,2,1,6
FD_0231,C_0070,17-02-20,Telephonic,5,5,4,3,3,1,4,3,1,2,5
FD_0232,C_0237,17-02-20,Telephonic,2,4,2,2,5,5,4,5,3,3,7
FD_0233,C_0658,17-02-20,Online,1,2,2,4,1,2,5,4,3,4,1
FD_0234,C_0582,18-02-20,Telephonic,1,2,1,3,2,5,5,5,4,2,2
FD_0235,C_0118,18-02-20,Mail,5,4,3,4,1,5,4,1,1,3,4
FD_0236,C_0825,18-02-20,Online,1,2,4,4,2,4,3,3,3,2,7
FD_0237,C_1063,18-02-20,Online,1,4,2,3,1,4,2,2,1,2,8
FD_0238,C_0975,19-02-20,Online,1,2,3,1,3,2,1,2,3,2,2
FD_0239,C_0268,19-02-20,Mail,1,4,5,5,2,1,4,1,1,3,7
FD_0240,C_1057,19-02-20,Mail,1,1,3,2,4,4,3,4,5,4,3
FD_0241,C_0057,19-02-20,Mail,1,1,2,5,1,5,3,4,2,3,3
FD_0242,C_1192,19-02-20,Online,4,4,1,1,5,4,2,2,5,1,1
FD_0243,C_0577,19-02-20,Online,2,2,5,5,3,4,3,1,1,3,2
FD_0244,C_0711,20-02-20,Online,2,2,1,3,1,5,4,5,3,5,6
FD_0245,C_0658,20-02-20,Mail,2,5,4,5,4,4,2,5,5,3,8
FD_0246,C_0205,20-02-20,Mail,5,5,4,4,2,1,3,5,3,4,2
FD_0247,C_1417,20-02-20,Mail,1,1,1,1,2,1,4,3,4,2,5
FD_0248,C_0963,21-02-20,Telephonic,3,1,5,1,4,2,4,3,4,2,7
FD_0249,C_0943,21-02-20,Telephonic,4,4,4,4,4,3,5,3,5,1,5
FD_0250,C_0125,21-02-20,Mail,5,3,3,1,1,2,1,3,1,5,9
FD_0251,C_0231,21-02-20,Telephonic,2,1,5,5,1,5,4,3,4,3,7
FD_0252,C_0247,21-02-20,Online,1,2,2,4,5,2,5,4,1,1,8
FD_0253,C_0943,22-02-20,Mail,3,1,3,2,3,3,1,3,4,2,6
FD_0254,C_1202,22-02-20,Online,5,1,5,3,2,2,5,2,5,2,5
FD_0255,C_0247,22-02-20,Online,1,3,1,4,2,5,4,5,2,1,3
FD_0256,C_0332,23-02-20,Mail,5,4,4,1,2,5,3,3,5,4,6
FD_0257,C_0975,23-02-20,Mail,4,2,4,4,1,1,4,4,5,4,7
FD_0258,C_0976,24-02-20,Mail,2,1,3,2,5,3,5,5,2,5,9
FD_0259,C_0768,24-02-20,Telephonic,3,3,1,4,1,4,4,1,3,3,4
FD_0260,C_0233,24-02-20,Telephonic,5,1,1,3,2,2,4,5,5,4,4
FD_0261,C_0454,24-02-20,Telephonic,4,3,2,3,5,1,2,5,5,3,8
FD_0262,C_0425,24-02-20,Telephonic,5,4,4,5,3,5,3,5,4,5,4
FD_0263,C_0510,24-02-20,Online,3,2,3,4,3,1,1,5,1,4,7
FD_0264,C_1191,24-02-20,Telephonic,3,2,1,1,5,3,1,5,4,3,4
FD_0265,C_0234,25-02-20,Mail,1,5,3,4,1,5,1,2,2,1,1
FD_0266,C_0930,25-02-20,Online,4,5,2,3,2,4,3,5,4,1,3
FD_0267,C_0871,25-02-20,Online,2,1,5,2,1,4,5,1,4,5,9
FD_0268,C_1016,25-02-20,Online,1,4,2,5,2,1,1,5,1,2,10
FD_0269,C_1239,25-02-20,Telephonic,2,3,2,2,5,1,1,5,2,1,2
FD_0270,C_0491,25-02-20,Mail,2,2,1,3,5,3,2,5,4,1,5
FD_0271,C_0647,26-02-20,Mail,5,4,3,4,5,3,2,3,3,3,1
FD_0272,C_0157,26-02-20,Mail,3,2,5,2,2,5,1,3,2,4,1
FD_0273,C_0493,26-02-20,Mail,3,2,4,3,5,3,2,5,5,5,8
FD_0274,C_0049,26-02-20,Mail,2,4,2,3,3,3,3,2,4,1,9
FD_0275,C_0915,27-02-20,Telephonic,3,4,4,5,2,2,3,5,1,4,1
FD_0276,C_0360,27-02-20,Online,4,1,3,3,3,1,5,1,5,5,4
FD_0277,C_0285,27-02-20,Online,4,1,3,2,2,3,4,1,4,1,8
FD_0278,C_0916,28-02-20,Telephonic,5,1,2,1,1,3,5,4,3,2,9
FD_0279,C_1201,28-02-20,Mail,2,1,2,3,1,1,4,5,1,2,9
FD_0280,C_1242,28-02-20,Online,3,3,3,3,1,5,3,1,4,2,3
FD_0281,C_0253,28-02-20,Telephonic,4,3,3,2,5,5,2,3,1,4,6
FD_0282,C_1144,29-02-20,Mail,5,4,5,3,1,3,1,3,3,1,8
FD_0283,C_1180,29-02-20,Online,4,5,3,3,2,5,4,3,3,4,8
FD_0284,C_1452,29-02-20,Mail,2,4,3,5,5,3,4,5,4,4,9
FD_0285,C_0497,29-02-20,Telephonic,3,4,5,4,1,5,4,1,5,5,10
FD_0286,C_0794,29-02-20,Online,4,3,1,2,4,2,2,2,1,4,2
FD_0287,C_0839,01-03-20,Telephonic,1,4,1,5,3,3,4,2,2,4,7
FD_0288,C_0978,01-03-20,Telephonic,5,5,1,5,5,5,1,5,3,4,7
FD_0289,C_0255,01-03-20,Online,2,2,2,1,1,3,3,2,1,4,4
FD_0290,C_0699,01-03-20,Mail,4,3,5,5,2,4,2,5,3,3,7
FD_0291,C_1151,01-03-20,Telephonic,2,3,1,1,1,4,4,3,2,2,10
FD_0292,C_0760,01-03-20,Mail,5,3,2,3,5,2,5,5,3,3,10
FD_0293,C_0601,01-03-20,Telephonic,5,1,3,2,1,5,3,1,5,1,4
FD_0294,C_0406,02-03-20,Online,4,2,3,4,4,1,1,3,1,5,8
FD_0295,C_0579,02-03-20,Online,1,1,2,2,2,5,3,3,1,3,7
FD_0296,C_0505,02-03-20,Telephonic,5,1,2,5,2,4,3,1,1,4,1
FD_0297,C_0438,02-03-20,Telephonic,3,4,5,2,1,2,3,2,4,3,2
FD_0298,C_0607,03-03-20,Mail,5,2,3,3,3,3,4,3,4,4,6
FD_0299,C_0365,03-03-20,Mail,4,5,5,2,2,1,4,2,5,3,10
FD_0300,C_0913,04-03-20,Online,1,2,1,1,2,4,1,2,4,4,10
FD_0301,C_0582,04-03-20,Mail,4,5,3,1,2,4,1,2,3,4,4
FD_0302,C_1222,04-03-20,Telephonic,5,1,1,2,3,3,1,3,1,4,6
FD_0303,C_0454,04-03-20,Mail,2,4,3,2,1,1,3,4,1,1,8
FD_0304,C_0874,04-03-20,Mail,4,1,2,3,1,4,5,5,1,5,7
FD_0305,C_1087,04-03-20,Online,3,2,2,3,1,2,5,1,1,4,7
FD_0306,C_1036,05-03-20,Online,4,5,3,3,4,5,2,1,3,5,10
FD_0307,C_0286,05-03-20,Mail,3,1,2,4,2,3,1,2,5,4,2
FD_0308,C_0424,05-03-20,Online,2,5,1,3,2,1,1,5,4,5,10
FD_0309,C_0829,06-03-20,Telephonic,2,2,3,2,5,1,3,4,2,1,3
FD_0310,C_1227,06-03-20,Mail,5,4,1,3,2,2,1,4,1,3,10
FD_0311,C_0337,06-03-20,Telephonic,1,2,5,5,3,1,2,5,5,4,6
FD_0312,C_0170,07-03-20,Mail,5,1,3,5,3,4,5,1,4,3,1
FD_0313,C_0174,07-03-20,Online,1,4,2,3,5,2,4,5,2,4,10
FD_0314,C_1047,07-03-20,Online,3,2,3,3,2,2,5,2,2,3,5
FD_0315,C_0739,07-03-20,Online,3,3,5,3,4,5,2,3,2,3,8
FD_0316,C_0729,07-03-20,Mail,2,3,1,3,5,3,4,3,1,4,3
FD_0317,C_0423,08-03-20,Mail,2,3,4,4,2,5,2,5,2,2,1
FD_0318,C_0852,08-03-20,Online,2,1,1,3,2,5,3,3,5,5,6
FD_0319,C_0610,08-03-20,Mail,1,3,4,3,1,2,3,5,3,2,2
