Transaction_ID,Customer_ID,Transaction_Date,Transaction_Type,Amount,Channel,Charges,Balance
TN_0068,C_1355,06-01-20,Transfer,2940.31,Branch Banking,45.42,390297
TN_0069,C_1356,06-01-20,Transfer,9550.52,Internet Banking,12.44,729291
TN_0070,C_1357,06-01-20,Transfer,2504.54,Branch Banking,16.78,168337.5
TN_0071,C_1358,06-01-20,Withdrawal,351.85,Internet Banking,84.43,246300
TN_0072,C_1359,06-01-20,Withdrawal,1034.25,Mobile Banking,34.07,78601.5
TN_0073,C_1360,06-01-20,Withdrawal,6495.11,Branch Banking,21.69,293731.5
TN_0074,C_1361,07-01-20,Transfer,7479.92,Internet Banking,99.46,162210
TN_0075,C_1362,07-01-20,Withdrawal,5724.37,Mobile Banking,15.37,281971.5
TN_0076,C_1363,07-01-20,Transfer,2909.95,ATM,20.77,162189
TN_0077,C_1364,07-01-20,Withdrawal,404.04,ATM,18.45,252318
TN_0078,C_1365,07-01-20,Deposit,7849.98,Mobile Banking,64.38,297919.5
TN_0079,C_1366,07-01-20,Withdrawal,4192.84,ATM,90.46,78147
TN_0080,C_1367,07-01-20,Transfer,1393.89,Branch Banking,5.3,764046
TN_0081,C_1368,08-01-20,Transfer,7114.67,Branch Banking,92.24,192921
TN_0082,C_1369,08-01-20,Deposit,7070.47,ATM,52.55,357576
TN_0083,C_1370,08-01-20,Transfer,3555.15,Branch Banking,57.26,476151
TN_0084,C_1371,08-01-20,Withdrawal,1747.88,Internet Banking,0.49,238032
TN_0085,C_1372,09-01-20,Transfer,6905.44,Mobile Banking,69.21,401118
TN_0086,C_1373,09-01-20,Withdrawal,2694.58,ATM,94.99,586611
TN_0087,C_1374,09-01-20,Deposit,7502.14,ATM,41.03,203538
TN_0088,C_1375,09-01-20,Deposit,7139.49,Mobile Banking,32.73,117793.5
TN_0089,C_1376,09-01-20,Withdrawal,2830.02,Branch Banking,32.35,176550
TN_0090,C_1377,09-01-20,Deposit,9656.78,Mobile Banking,74.25,125119.5
TN_0091,C_1378,09-01-20,Deposit,5085.72,ATM,98.2,31630.5
TN_0092,C_1379,09-01-20,Deposit,4068.81,Internet Banking,95.15,162034.5
TN_0093,C_1380,09-01-20,Transfer,6838.16,ATM,37.83,155152.5
TN_0094,C_1381,09-01-20,Withdrawal,2526.72,Branch Banking,99.98,949099.5
TN_0095,C_1382,10-01-20,Withdrawal,9079.7,Internet Banking,98.86,39901.5
TN_0096,C_1383,10-01-20,Deposit,6590.28,Internet Banking,78.4,61815
TN_0097,C_1384,10-01-20,Transfer,9621.08,Mobile Banking,18.89,188838
TN_0098,C_1385,10-01-20,Transfer,8675.55,ATM,40.34,203008.5
TN_0099,C_1386,10-01-20,Deposit,5816.4,ATM,92.27,408558
TN_0100,C_1387,10-01-20,Deposit,5102.81,ATM,39.66,436950
TN_0101,C_1388,10-01-20,Transfer,3086.43,Mobile Banking,50.3,236209.5
TN_0102,C_1389,11-01-20,Deposit,2869.24,Mobile Banking,58.41,49491
TN_0103,C_1390,11-01-20,Withdrawal,3185.95,ATM,50.23,397083
TN_0104,C_1391,11-01-20,Deposit,8490.62,Internet Banking,54.85,199279.5
TN_0105,C_1392,11-01-20,Deposit,4205.25,Branch Banking,7.44,324879
TN_0106,C_1393,11-01-20,Transfer,6535.86,Internet Banking,18.55,75708
TN_0107,C_1394,11-01-20,Transfer,3239.4,Mobile Banking,17.26,225124.5
TN_0108,C_1395,11-01-20,Transfer,4685.44,Mobile Banking,41.31,283183.5
TN_0109,C_1396,11-01-20,Withdrawal,9458.75,Branch Banking,71.15,152140.5
TN_0110,C_1397,11-01-20,Deposit,5406.75,Mobile Banking,43.9,154915.5
TN_0111,C_1398,11-01-20,Withdrawal,5142.03,Internet Banking,96.34,286519.5
TN_0112,C_1399,12-01-20,Transfer,8351.62,Branch Banking,2.23,331000.5
TN_0113,C_1400,12-01-20,Transfer,6655.78,Mobile Banking,39.61,283200
TN_0114,C_1401,12-01-20,Transfer,6806.48,Mobile Banking,67.37,36541.5
TN_0115,C_1402,12-01-20,Transfer,9757.88,Internet Banking,39.33,124365
TN_0116,C_1403,13-01-20,Transfer,7653.57,Branch Banking,93.72,158379
TN_0117,C_1404,13-01-20,Deposit,3191.4,Internet Banking,24.37,360441
TN_0118,C_1405,13-01-20,Transfer,1353.76,ATM,47.24,32632.5
TN_0119,C_1406,13-01-20,Transfer,8260.66,Mobile Banking,28.83,110283
TN_0120,C_1407,13-01-20,Deposit,5178.6,Mobile Banking,94.9,33367.5
TN_0121,C_1408,13-01-20,Deposit,5490.31,Branch Banking,76.56,53392.5
TN_0122,C_1409,14-01-20,Transfer,324.94,ATM,18.49,35859
TN_0123,C_1410,14-01-20,Deposit,2904.1,Branch Banking,65.64,183709.5
TN_0124,C_1411,14-01-20,Transfer,294,Mobile Banking,43.83,285435
TN_0125,C_1412,14-01-20,Deposit,8523.95,Branch Banking,91.75,290062.5
TN_0126,C_1413,14-01-20,Transfer,6972.78,Mobile Banking,28,222864
TN_0127,C_1445,15-01-20,Transfer,5732.64,Internet Banking,90.09,202335
TN_0128,C_1446,15-01-20,Deposit,3918.3,Internet Banking,54.22,299317.5
TN_0129,C_1447,15-01-20,Deposit,3997.26,Mobile Banking,42.38,34092
TN_0130,C_1448,15-01-20,Deposit,6588.55,Mobile Banking,53.32,46236
TN_0131,C_1449,15-01-20,Withdrawal,5455.88,Internet Banking,75.01,322171.5
TN_0132,C_1450,15-01-20,Deposit,2704.76,ATM,76.47,260445
TN_0133,C_1451,15-01-20,Withdrawal,1503.64,ATM,96.53,522088.5
TN_0134,C_1452,15-01-20,Transfer,2897.92,Branch Banking,40.1,313177.5
TN_0135,C_0420,16-01-20,Transfer,5582.39,Internet Banking,11.48,252808.5
TN_0136,C_1400,16-01-20,Transfer,5118.15,Mobile Banking,6.15,283200
TN_0137,C_1401,16-01-20,Transfer,7774.17,ATM,64.09,36541.5
TN_0138,C_1402,16-01-20,Withdrawal,3594.4,Branch Banking,63.76,124365
TN_0139,C_1403,16-01-20,Deposit,816.73,Internet Banking,23.08,158379
TN_0140,C_1404,16-01-20,Deposit,4367.72,Mobile Banking,32.82,360441
TN_0141,C_1405,16-01-20,Withdrawal,1952.14,Internet Banking,23.96,32632.5
TN_0142,C_1406,16-01-20,Deposit,6743.9,ATM,12.97,110283
TN_0143,C_1407,16-01-20,Transfer,9368.06,ATM,70.96,33367.5
TN_0144,C_0613,17-01-20,Transfer,1253.28,Branch Banking,67.9,59239.5
TN_0145,C_0614,17-01-20,Withdrawal,198.04,Mobile Banking,83.93,371137.5
TN_0146,C_0615,17-01-20,Withdrawal,2321.18,Internet Banking,25.91,192507
TN_0147,C_0616,17-01-20,Deposit,3937.05,Mobile Banking,12.07,284016
TN_0148,C_0617,17-01-20,Deposit,9918.6,ATM,66.39,54922.5
TN_0149,C_0618,17-01-20,Transfer,5712.48,ATM,24.14,244576.5
TN_0150,C_0619,17-01-20,Withdrawal,8777.4,Mobile Banking,98.75,655800
TN_0151,C_0620,17-01-20,Withdrawal,1409.82,ATM,74.14,485697
TN_0152,C_0621,17-01-20,Withdrawal,7829.57,Branch Banking,29.95,273855
TN_0153,C_0622,17-01-20,Transfer,3259.66,Internet Banking,61.33,30046.5
TN_0154,C_0623,17-01-20,Transfer,9451.57,Internet Banking,71.38,72780
TN_0155,C_0624,18-01-20,Deposit,6783.32,ATM,73.88,195010.5
TN_0156,C_0625,18-01-20,Withdrawal,5260.02,Mobile Banking,42.73,249372
TN_0157,C_0626,18-01-20,Withdrawal,7079.33,Branch Banking,72,30532.5
TN_0158,C_0627,18-01-20,Transfer,8915.26,Branch Banking,16.75,289072.5
TN_0159,C_0628,18-01-20,Transfer,7799.29,Mobile Banking,37.09,436999.5
TN_0160,C_0629,18-01-20,Deposit,4331.16,ATM,25.72,58710
TN_0161,C_0630,18-01-20,Transfer,1217.89,Internet Banking,2.48,399658.5
TN_0162,C_0631,18-01-20,Withdrawal,9388.12,Mobile Banking,50.34,190260
TN_0163,C_0632,18-01-20,Deposit,8857.03,Mobile Banking,86.62,249628.5
TN_0164,C_0633,18-01-20,Deposit,611.29,ATM,16,43068
TN_0165,C_0634,18-01-20,Deposit,2816.19,ATM,81.58,310240.5
TN_0166,C_0635,18-01-20,Withdrawal,9734.5,ATM,73.37,260832
TN_0167,C_0636,19-01-20,Withdrawal,5642.93,Mobile Banking,57.02,379875
TN_0168,C_0637,19-01-20,Withdrawal,6187.73,Internet Banking,21.97,50584.5
TN_0169,C_0638,19-01-20,Deposit,1664.15,Internet Banking,7.5,170167.5
TN_0170,C_0639,20-01-20,Transfer,5232.88,Branch Banking,47.3,30168
TN_0171,C_0640,20-01-20,Withdrawal,1094.81,Internet Banking,98.73,604660.5
TN_0172,C_0641,20-01-20,Transfer,9694.49,ATM,77,268617
TN_0173,C_0642,20-01-20,Transfer,3410.77,Branch Banking,52.08,189603
TN_0174,C_0643,20-01-20,Transfer,6879.79,Mobile Banking,35.07,335838
TN_0175,C_0644,20-01-20,Withdrawal,397.82,Mobile Banking,6.11,286977
TN_0176,C_0645,20-01-20,Deposit,4268.75,Mobile Banking,58.23,59205
TN_0177,C_0646,20-01-20,Withdrawal,5021.74,Internet Banking,56.35,179211
TN_0178,C_0465,21-01-20,Deposit,1865.95,ATM,69.87,339678
TN_0179,C_0466,21-01-20,Withdrawal,5547.42,Mobile Banking,79.68,71875.5
TN_0180,C_1167,21-01-20,Deposit,7718.01,Internet Banking,49.7,51538.5
TN_0181,C_1168,21-01-20,Transfer,6750.79,Internet Banking,4.25,80310
TN_0182,C_1169,21-01-20,Deposit,9334.41,Mobile Banking,52.1,230304
TN_0183,C_1170,21-01-20,Withdrawal,3432.9,ATM,60.12,136893
TN_0184,C_1171,21-01-20,Deposit,4621.37,Internet Banking,30.21,357861
TN_0185,C_1172,21-01-20,Withdrawal,3024.79,Branch Banking,77.41,371337
TN_0186,C_0406,22-01-20,Withdrawal,1776.36,ATM,5.42,269221.5
TN_0187,C_1239,22-01-20,Transfer,7322.8,ATM,72.36,340464
TN_0188,C_1240,22-01-20,Deposit,1614.66,Mobile Banking,22.41,39400.5
TN_0189,C_1241,22-01-20,Withdrawal,1872.55,Mobile Banking,90.53,202584
TN_0190,C_1242,22-01-20,Transfer,4886.94,Branch Banking,51.36,222570
TN_0191,C_1243,22-01-20,Transfer,1454.61,Branch Banking,98.72,40606.5
TN_0192,C_1244,22-01-20,Withdrawal,748.55,Internet Banking,65.83,249330
TN_0193,C_1245,22-01-20,Transfer,4860.05,Internet Banking,49.17,34470
TN_0194,C_1246,22-01-20,Deposit,5808.14,Internet Banking,99.71,258978
TN_0195,C_1247,22-01-20,Transfer,6797.22,Internet Banking,81.47,307194
TN_0196,C_1090,23-01-20,Withdrawal,6915.21,Mobile Banking,99.66,502116
TN_0197,C_1091,23-01-20,Withdrawal,9694.31,Internet Banking,57.72,302400
TN_0198,C_1092,23-01-20,Transfer,1584.73,Mobile Banking,25.04,51567
TN_0199,C_1093,23-01-20,Transfer,8396.92,Branch Banking,41.03,270406.5
TN_0200,C_1094,23-01-20,Transfer,2393.82,Branch Banking,14.52,185749.5
TN_0201,C_1095,23-01-20,Withdrawal,8245.36,Mobile Banking,10.84,319956
TN_0202,C_1096,23-01-20,Withdrawal,3556.11,Mobile Banking,30.4,444807
TN_0203,C_1097,23-01-20,Transfer,8628.39,Internet Banking,40.27,587905.5
TN_0204,C_1098,23-01-20,Transfer,8070.76,ATM,70.07,263008.5
TN_0205,C_1099,23-01-20,Withdrawal,8138.97,Mobile Banking,83.2,91089
TN_0206,C_1100,23-01-20,Withdrawal,6038.97,Mobile Banking,65.45,286654.5
TN_0207,C_1101,23-01-20,Withdrawal,3385.98,Internet Banking,0.24,48261
TN_0208,C_1293,24-01-20,Deposit,69.16,Internet Banking,6.29,276982.5
TN_0209,C_1294,24-01-20,Deposit,8153.78,ATM,68.73,36409.5
TN_0210,C_1295,24-01-20,Withdrawal,1215.08,Branch Banking,4.49,419016
TN_0211,C_1296,24-01-20,Withdrawal,51.44,Mobile Banking,71.99,250036.5
TN_0212,C_1297,24-01-20,Deposit,1982.07,Branch Banking,97.43,231561
TN_0213,C_1298,24-01-20,Withdrawal,2195.58,ATM,51.85,47610
TN_0214,C_1299,24-01-20,Withdrawal,7988.97,Branch Banking,87.17,194094
TN_0215,C_1300,24-01-20,Withdrawal,4886.59,Mobile Banking,25.28,292522.5
TN_0216,C_1301,24-01-20,Deposit,2745.19,Branch Banking,3.14,281146.5
TN_0217,C_1302,24-01-20,Transfer,6012.88,ATM,46.79,388630.5
TN_0218,C_1303,24-01-20,Withdrawal,7788.18,ATM,2.4,93642
TN_0219,C_1304,24-01-20,Deposit,4456.41,Internet Banking,26.99,116358
TN_0220,C_1305,24-01-20,Deposit,3090.33,ATM,10.48,368103
TN_0221,C_1306,24-01-20,Deposit,5786.3,Internet Banking,40.52,301675.5
TN_0222,C_1307,24-01-20,Transfer,105.66,Mobile Banking,45.37,55168.5
TN_0223,C_1308,25-01-20,Deposit,3598.55,ATM,25.15,265542
TN_0224,C_1309,25-01-20,Transfer,2281.16,Branch Banking,11.84,159459
TN_0225,C_1310,25-01-20,Deposit,8368.58,Branch Banking,62.39,152373
TN_0226,C_1311,25-01-20,Deposit,4406.81,Internet Banking,59.05,237535.5
TN_0227,C_1312,25-01-20,Transfer,8508.37,ATM,78.45,566775
TN_0228,C_1313,25-01-20,Transfer,9974.44,Mobile Banking,28.24,311164.5
TN_0229,C_1314,25-01-20,Deposit,9399.21,ATM,28.7,196438.5
TN_0230,C_1315,26-01-20,Withdrawal,2829.03,ATM,78.09,168745.5
TN_0231,C_1316,26-01-20,Withdrawal,3713.9,ATM,15.63,285817.5
TN_0232,C_1317,26-01-20,Transfer,8829.48,Internet Banking,70.73,171438
TN_0233,C_1318,26-01-20,Transfer,9309.45,Branch Banking,83.16,112756.5
TN_0234,C_1319,26-01-20,Withdrawal,6345.99,Mobile Banking,49.4,469408.5
TN_0235,C_1320,26-01-20,Transfer,9191.68,ATM,20.11,79305
TN_0236,C_1321,26-01-20,Withdrawal,1706.46,ATM,97.51,262420.5
TN_0237,C_1322,26-01-20,Deposit,2640.76,Branch Banking,87.86,159103.5
TN_0238,C_0827,27-01-20,Deposit,4788.49,ATM,29.35,145959
TN_0239,C_0277,27-01-20,Transfer,1292.87,Internet Banking,85.55,339582
TN_0240,C_1193,27-01-20,Deposit,4018.41,ATM,54.11,270712.5
TN_0241,C_1194,27-01-20,Withdrawal,7148.05,ATM,97.65,228978
TN_0242,C_1195,27-01-20,Deposit,8915.22,Branch Banking,33.81,259411.5
TN_0243,C_1196,27-01-20,Deposit,1415.33,Internet Banking,88.88,676155
TN_0244,C_1197,27-01-20,Withdrawal,6575.77,Mobile Banking,73.9,249004.5
TN_0245,C_0340,28-01-20,Withdrawal,6476.56,ATM,68.5,380394
TN_0246,C_1135,28-01-20,Transfer,7751.66,Mobile Banking,33.17,243816
TN_0247,C_1136,28-01-20,Deposit,4046.82,ATM,3.42,32425.5
TN_0248,C_1137,28-01-20,Transfer,5666.19,Internet Banking,35.39,373041
TN_0249,C_1138,28-01-20,Deposit,9391.37,Internet Banking,97.24,328710
TN_0250,C_1139,28-01-20,Deposit,1858.15,ATM,9.63,54060
TN_0251,C_1140,28-01-20,Deposit,2831.21,Mobile Banking,88.08,479943
TN_0252,C_1141,28-01-20,Deposit,3096.51,Mobile Banking,91.48,172926
TN_0253,C_1142,28-01-20,Transfer,8926.18,Internet Banking,67.48,44553
TN_0254,C_1143,28-01-20,Deposit,582.06,Branch Banking,83.68,160627.5
TN_0255,C_1144,29-01-20,Withdrawal,5511.7,Branch Banking,48.55,306541.5
TN_0256,C_1145,29-01-20,Transfer,3214.27,Mobile Banking,91.4,32746.5
TN_0257,C_1146,29-01-20,Deposit,4426.55,Branch Banking,40.58,273498
TN_0258,C_1147,29-01-20,Transfer,9213.04,Internet Banking,13.63,191814
TN_0259,C_1148,29-01-20,Withdrawal,2460.12,Mobile Banking,33.63,47505
TN_0260,C_1149,29-01-20,Deposit,3114.4,Internet Banking,86.71,438823.5
TN_0261,C_1150,29-01-20,Deposit,5733.06,Branch Banking,55.49,304767
TN_0262,C_1151,29-01-20,Withdrawal,4296.83,Mobile Banking,33.81,270148.5
TN_0263,C_1152,30-01-20,Deposit,6366.98,Branch Banking,57.12,231811.5
TN_0264,C_1153,30-01-20,Deposit,5777.53,Branch Banking,30.81,143197.5
TN_0265,C_1154,30-01-20,Transfer,9501.17,ATM,82.12,257758.5
TN_0266,C_1155,30-01-20,Deposit,4348.68,Branch Banking,96.21,173343
TN_0267,C_1156,30-01-20,Transfer,9049.43,Mobile Banking,28.86,63717
TN_0268,C_1157,30-01-20,Transfer,2642.32,ATM,72.16,175581
TN_0269,C_1158,30-01-20,Transfer,7891.04,Mobile Banking,81.95,186205.5
TN_0270,C_1159,30-01-20,Withdrawal,1685.43,ATM,3.44,161254.5
TN_0271,C_1160,30-01-20,Withdrawal,3577.53,ATM,11.49,105391.5
TN_0272,C_1161,30-01-20,Deposit,3518.16,Branch Banking,86.95,55054.5
TN_0273,C_1162,30-01-20,Transfer,9435.12,Branch Banking,92.24,387508.5
TN_0274,C_1163,30-01-20,Deposit,5023.78,Branch Banking,24.7,404263.5
TN_0275,C_1164,30-01-20,Deposit,6861.33,Internet Banking,5.51,451953
TN_0276,C_1165,31-01-20,Deposit,7404.66,Mobile Banking,51.19,554050.5
TN_0277,C_1166,31-01-20,Deposit,9306.37,Mobile Banking,29.63,33687
TN_0278,C_1167,31-01-20,Withdrawal,5070.61,Internet Banking,24.5,51538.5
TN_0279,C_1168,31-01-20,Transfer,6806.86,Branch Banking,23.56,80310
TN_0280,C_1169,31-01-20,Deposit,9861,Branch Banking,50.8,230304
TN_0281,C_1170,01-02-20,Deposit,5263.01,Branch Banking,62.1,136893
TN_0282,C_1171,01-02-20,Withdrawal,6795.61,ATM,68.78,357861
TN_0283,C_1172,01-02-20,Transfer,7733.49,ATM,41.14,371337
TN_0284,C_1173,01-02-20,Transfer,5908.47,Branch Banking,69.6,282417
TN_0285,C_1174,01-02-20,Withdrawal,6849.71,ATM,63.6,292492.5
TN_0286,C_1175,01-02-20,Transfer,2564.76,Branch Banking,50.85,253173
TN_0287,C_1176,01-02-20,Deposit,2146.74,Internet Banking,1.27,43083
TN_0288,C_1177,01-02-20,Withdrawal,4046.62,Mobile Banking,13.01,303229.5
TN_0289,C_1178,01-02-20,Deposit,7382.21,Branch Banking,32.38,34587
TN_0290,C_1179,01-02-20,Deposit,7272.01,Mobile Banking,41.86,173037
TN_0291,C_1180,01-02-20,Transfer,8995.31,Mobile Banking,68.48,117424.5
TN_0292,C_1181,01-02-20,Withdrawal,8409.99,ATM,33.85,253281
TN_0293,C_1182,01-02-20,Transfer,7409.44,Mobile Banking,47.48,33301.5
TN_0294,C_1183,01-02-20,Deposit,4694.01,Mobile Banking,28.55,236623.5
TN_0295,C_1184,01-02-20,Withdrawal,6715.95,Mobile Banking,41.47,305721
TN_0296,C_1185,02-02-20,Transfer,9142.39,Internet Banking,81.89,111990
TN_0297,C_1186,02-02-20,Deposit,4358.54,Internet Banking,67.86,438904.5
TN_0298,C_1187,02-02-20,Deposit,2617.68,Internet Banking,88.01,258546
TN_0299,C_1188,02-02-20,Deposit,8233.32,Branch Banking,59.22,45841.5
TN_0300,C_1189,02-02-20,Withdrawal,5382.64,Branch Banking,4.76,236985
TN_0301,C_1190,02-02-20,Deposit,4534.42,Mobile Banking,93.47,180364.5
TN_0302,C_1191,02-02-20,Deposit,4124.72,ATM,90.05,44548.5
TN_0303,C_0865,03-02-20,Transfer,6930.79,Mobile Banking,44.4,291945
TN_0304,C_0866,03-02-20,Deposit,8598.93,Mobile Banking,42.48,153213
TN_0305,C_0867,03-02-20,Withdrawal,522.74,Branch Banking,69.7,201957
TN_0306,C_0868,03-02-20,Transfer,5053.43,Branch Banking,9.73,70380
TN_0307,C_0869,03-02-20,Deposit,1866.69,Mobile Banking,87.87,31195.5
TN_0308,C_0870,03-02-20,Transfer,3115.74,Mobile Banking,52.33,313419
TN_0309,C_0871,03-02-20,Deposit,4776.89,ATM,50.71,378646.5
TN_0310,C_0872,03-02-20,Transfer,5841.6,Mobile Banking,8.68,377595
TN_0311,C_0873,03-02-20,Transfer,7578.66,Branch Banking,47.83,451876.5
TN_0312,C_0874,03-02-20,Withdrawal,2178.51,Mobile Banking,46.4,206448
TN_0313,C_0875,03-02-20,Withdrawal,8137.99,Internet Banking,91.2,295911
TN_0314,C_0876,03-02-20,Transfer,8344.01,ATM,72.47,159064.5
TN_0315,C_0877,03-02-20,Withdrawal,7332.96,ATM,29.8,293454
TN_0316,C_0878,04-02-20,Withdrawal,1737.41,Branch Banking,47.8,356934
TN_0317,C_1334,04-02-20,Withdrawal,7145.85,Internet Banking,88.67,236425.5
TN_0318,C_1335,04-02-20,Deposit,2231.43,Mobile Banking,67.08,271432.5
TN_0319,C_1336,04-02-20,Withdrawal,4424.41,Internet Banking,26.43,717559.5
TN_0320,C_1337,04-02-20,Withdrawal,7955.79,Mobile Banking,79.59,367635
TN_0321,C_1338,04-02-20,Withdrawal,4295.79,Branch Banking,78.21,31485
TN_0322,C_1339,04-02-20,Transfer,37.36,Mobile Banking,47.54,34296
TN_0323,C_1340,05-02-20,Withdrawal,4439.61,Internet Banking,23.67,285445.5
TN_0324,C_1341,05-02-20,Transfer,1108.95,ATM,33.67,67170
TN_0325,C_1342,05-02-20,Transfer,5835.42,ATM,79.25,48558
TN_0326,C_1343,05-02-20,Withdrawal,6432.35,Internet Banking,60.2,205776
TN_0327,C_1344,05-02-20,Deposit,6537.03,Branch Banking,99.63,549637.5
TN_0328,C_1345,05-02-20,Withdrawal,8390.66,ATM,24.6,240460.5
TN_0329,C_1346,05-02-20,Transfer,374.22,Mobile Banking,48.06,255720
TN_0330,C_1347,05-02-20,Withdrawal,7346.52,Branch Banking,29.73,336589.5
