Complaint_ID,Customer_ID,Complaint_Date,Issue,Priority,Resolution_Time
CP_0033,C_0656,06-01-20,Loan application rejections,P_3,32
CP_0034,C_0295,06-01-20,Poor customer service,P_3,94
CP_0035,C_0626,06-01-20,Account balance discrepancies,P_3,91
CP_0036,C_0646,06-01-20,Account balance discrepancies,P_3,36
CP_0037,C_0615,06-01-20,Account balance discrepancies,P_3,91
CP_0038,C_1281,06-01-20,Loan application rejections,P_3,50
CP_0039,C_0385,06-01-20,Loan application rejections,P_3,45
CP_0040,C_0342,07-01-20,Loan application rejections,P_3,69
CP_0041,C_0050,07-01-20,Failed online transactions,P_2,6
CP_0042,C_0051,07-01-20,Account balance discrepancies,P_3,69
CP_0043,C_0153,07-01-20,Account balance discrepancies,P_3,52
CP_0044,C_0570,07-01-20,Failed online transactions,P_2,13
CP_0045,C_0684,08-01-20,ATM withdrawal issues,P_2,6
CP_0046,C_1459,08-01-20,Poor customer service,P_3,65
CP_0047,C_1021,08-01-20,Card activation issues,P_1,4
CP_0048,C_0461,08-01-20,Poor customer service,P_3,85
CP_0049,C_0571,09-01-20,Card activation issues,P_1,4
CP_0050,C_1114,09-01-20,Account closure problems,P_2,18
CP_0051,C_0058,09-01-20,Loan application rejections,P_3,79
CP_0052,C_1008,09-01-20,Account closure problems,P_2,13
CP_0053,C_0554,09-01-20,Disputed charges,P_2,21
CP_0054,C_0766,10-01-20,Loan application rejections,P_3,87
CP_0055,C_1383,10-01-20,Loan application rejections,P_3,89
CP_0056,C_0220,10-01-20,Account closure problems,P_2,39
CP_0057,C_0041,10-01-20,Disputed charges,P_2,24
CP_0058,C_0221,10-01-20,Account balance discrepancies,P_3,86
CP_0059,C_1274,10-01-20,Loan application rejections,P_3,69
CP_0060,C_1144,10-01-20,Account balance discrepancies,P_3,55
CP_0061,C_0636,11-01-20,Account balance discrepancies,P_3,62
CP_0062,C_1306,11-01-20,Account balance discrepancies,P_3,39
CP_0063,C_0607,11-01-20,Account balance discrepancies,P_3,83
CP_0064,C_0050,11-01-20,Account balance discrepancies,P_3,30
CP_0065,C_1282,11-01-20,Poor customer service,P_3,29
CP_0066,C_1479,11-01-20,Account balance discrepancies,P_3,53
CP_0067,C_0613,11-01-20,Poor customer service,P_3,85
CP_0068,C_1257,12-01-20,Poor customer service,P_3,42
CP_0069,C_0332,12-01-20,Account balance discrepancies,P_3,31
CP_0070,C_0952,12-01-20,Loan application rejections,P_3,92
CP_0071,C_1045,12-01-20,Account balance discrepancies,P_3,66
CP_0072,C_0660,13-01-20,Poor customer service,P_3,55
CP_0073,C_0627,13-01-20,Account balance discrepancies,P_3,67
CP_0074,C_0755,13-01-20,Poor customer service,P_3,63
CP_0075,C_0337,13-01-20,Loan application rejections,P_3,56
CP_0076,C_0472,14-01-20,Loan application rejections,P_3,46
CP_0077,C_0702,14-01-20,Poor customer service,P_3,75
CP_0078,C_1029,14-01-20,Account balance discrepancies,P_3,57
CP_0079,C_0462,15-01-20,Poor customer service,P_3,47
CP_0080,C_0088,15-01-20,Account balance discrepancies,P_3,89
CP_0081,C_0887,15-01-20,Account balance discrepancies,P_3,36
CP_0082,C_1166,15-01-20,Account balance discrepancies,P_3,49
CP_0083,C_1029,16-01-20,Account balance discrepancies,P_3,36
CP_0084,C_0103,16-01-20,Account balance discrepancies,P_3,90
CP_0085,C_1087,17-01-20,Account balance discrepancies,P_3,62
CP_0086,C_0636,17-01-20,Loan application rejections,P_3,94
CP_0087,C_1346,18-01-20,Account balance discrepancies,P_3,62
CP_0088,C_0722,18-01-20,ATM withdrawal issues,P_2,8
CP_0089,C_1300,18-01-20,Account balance discrepancies,P_3,94
CP_0090,C_1365,18-01-20,Loan application rejections,P_3,25
CP_0091,C_1467,18-01-20,Poor customer service,P_3,26
CP_0092,C_0604,18-01-20,Loan application rejections,P_3,66
CP_0093,C_0259,19-01-20,Disputed charges,P_2,7
CP_0094,C_1120,19-01-20,Disputed charges,P_2,7
CP_0095,C_1127,19-01-20,Poor customer service,P_3,26
CP_0096,C_1417,19-01-20,Loan application rejections,P_3,95
CP_0097,C_0631,19-01-20,Disputed charges,P_2,11
CP_0098,C_1065,19-01-20,Poor customer service,P_3,44
CP_0099,C_1242,20-01-20,Loan application rejections,P_3,90
CP_0100,C_0316,20-01-20,Poor customer service,P_3,25
CP_0101,C_1051,20-01-20,Loan application rejections,P_3,85
CP_0102,C_0964,20-01-20,Poor customer service,P_3,40
CP_0103,C_0383,21-01-20,Disputed charges,P_2,11
CP_0104,C_0070,21-01-20,Account balance discrepancies,P_3,89
CP_0105,C_1010,21-01-20,Account closure problems,P_2,17
CP_0106,C_1010,21-01-20,Account balance discrepancies,P_3,26
CP_0107,C_1267,21-01-20,Account balance discrepancies,P_3,63
CP_0108,C_0368,21-01-20,Loan application rejections,P_3,88
CP_0109,C_0159,21-01-20,Poor customer service,P_3,67
CP_0110,C_0629,21-01-20,Poor customer service,P_3,48
CP_0111,C_0719,22-01-20,Poor customer service,P_3,34
CP_0112,C_0364,22-01-20,Poor customer service,P_3,25
CP_0113,C_0450,22-01-20,Poor customer service,P_3,53
CP_0114,C_0969,22-01-20,Account balance discrepancies,P_3,42
CP_0115,C_0312,23-01-20,Account balance discrepancies,P_3,44
CP_0116,C_1205,24-01-20,Account closure problems,P_2,13
CP_0117,C_1251,24-01-20,Loan application rejections,P_3,69
CP_0118,C_0150,24-01-20,Loan application rejections,P_3,44
CP_0119,C_0648,25-01-20,Account balance discrepancies,P_3,88
CP_0120,C_0998,25-01-20,Delayed or undelivered statements,P_2,9
CP_0121,C_1113,25-01-20,Account balance discrepancies,P_3,51
CP_0122,C_0056,25-01-20,Failed online transactions,P_2,17
CP_0123,C_0522,26-01-20,Account closure problems,P_2,21
CP_0124,C_0739,26-01-20,Loan application rejections,P_3,89
CP_0125,C_0605,26-01-20,Unauthorized transactions,P_1,3
CP_0126,C_1000,26-01-20,Poor customer service,P_3,100
CP_0127,C_1136,26-01-20,Poor customer service,P_3,56
CP_0128,C_1010,26-01-20,Account closure problems,P_2,13
CP_0129,C_0199,26-01-20,Loan application rejections,P_3,49
CP_0130,C_0555,26-01-20,Account balance discrepancies,P_3,100
CP_0131,C_0549,26-01-20,Disputed charges,P_2,24
CP_0132,C_1120,27-01-20,Loan application rejections,P_3,33
CP_0133,C_0919,27-01-20,Loan application rejections,P_3,50
CP_0134,C_0980,27-01-20,Account balance discrepancies,P_3,69
CP_0135,C_0810,27-01-20,Delayed or undelivered statements,P_2,24
CP_0136,C_0845,27-01-20,Account balance discrepancies,P_3,57
CP_0137,C_0342,28-01-20,Poor customer service,P_3,54
CP_0138,C_0572,28-01-20,Account balance discrepancies,P_3,90
CP_0139,C_0818,28-01-20,Disputed charges,P_2,36
CP_0140,C_1380,28-01-20,Account balance discrepancies,P_3,100
CP_0141,C_1308,28-01-20,ATM withdrawal issues,P_2,8
CP_0142,C_0434,28-01-20,Loan application rejections,P_3,60
CP_0143,C_0354,28-01-20,Poor customer service,P_3,40
CP_0144,C_1483,28-01-20,Account balance discrepancies,P_3,78
CP_0145,C_0504,29-01-20,Poor customer service,P_3,38
CP_0146,C_0870,29-01-20,Account balance discrepancies,P_3,93
CP_0147,C_0687,29-01-20,Card activation issues,P_1,3
CP_0148,C_0450,29-01-20,Loan application rejections,P_3,87
CP_0149,C_1030,30-01-20,Loan application rejections,P_3,41
CP_0150,C_0973,30-01-20,Poor customer service,P_3,95
CP_0151,C_1347,30-01-20,ATM withdrawal issues,P_2,21
CP_0152,C_0619,30-01-20,Poor customer service,P_3,31
CP_0153,C_1323,30-01-20,Disputed charges,P_2,6
CP_0154,C_0046,30-01-20,Account balance discrepancies,P_3,27
CP_0155,C_1082,30-01-20,ATM withdrawal issues,P_2,20
CP_0156,C_0757,30-01-20,Loan application rejections,P_3,93
CP_0157,C_0013,31-01-20,Loan application rejections,P_3,94
CP_0158,C_0774,31-01-20,Poor customer service,P_3,31
CP_0159,C_0806,31-01-20,Poor customer service,P_3,85
CP_0160,C_1112,31-01-20,Disputed charges,P_2,24
CP_0161,C_1401,31-01-20,Poor customer service,P_3,59
CP_0162,C_0883,01-02-20,Loan application rejections,P_3,44
CP_0163,C_0714,01-02-20,Poor customer service,P_3,41
CP_0164,C_1428,01-02-20,Account balance discrepancies,P_3,51
CP_0165,C_1132,01-02-20,Loan application rejections,P_3,79
CP_0166,C_0152,01-02-20,Poor customer service,P_3,89
CP_0167,C_1145,02-02-20,Disputed charges,P_2,16
CP_0168,C_0595,02-02-20,Account balance discrepancies,P_3,85
CP_0169,C_1111,02-02-20,Poor customer service,P_3,32
CP_0170,C_0774,03-02-20,Loan application rejections,P_3,81
CP_0171,C_0783,03-02-20,Poor customer service,P_3,97
CP_0172,C_0217,03-02-20,Account balance discrepancies,P_3,30
CP_0173,C_1302,04-02-20,Loan application rejections,P_3,90
CP_0174,C_1493,04-02-20,Loan application rejections,P_3,37
CP_0175,C_0398,04-02-20,Account balance discrepancies,P_3,89
CP_0176,C_1471,05-02-20,Poor customer service,P_3,61
CP_0177,C_0261,05-02-20,Card activation issues,P_1,2
CP_0178,C_0114,05-02-20,Account balance discrepancies,P_3,88
CP_0179,C_0597,05-02-20,Account balance discrepancies,P_3,53
CP_0180,C_1468,05-02-20,Account balance discrepancies,P_3,94
CP_0181,C_0470,05-02-20,Account balance discrepancies,P_3,59
CP_0182,C_0174,06-02-20,Account balance discrepancies,P_3,72
CP_0183,C_1102,06-02-20,Loan application rejections,P_3,41
CP_0184,C_1222,06-02-20,Loan application rejections,P_3,60
CP_0185,C_1286,06-02-20,Poor customer service,P_3,45
CP_0186,C_1485,06-02-20,Poor customer service,P_3,80
CP_0187,C_0993,07-02-20,Loan application rejections,P_3,28
CP_0188,C_0399,07-02-20,Account balance discrepancies,P_3,83
CP_0189,C_0497,07-02-20,Account balance discrepancies,P_3,80
CP_0190,C_0548,08-02-20,Poor customer service,P_3,38
CP_0191,C_1018,08-02-20,Account closure problems,P_2,6
CP_0192,C_0812,08-02-20,Loan application rejections,P_3,90
CP_0193,C_1097,08-02-20,Poor customer service,P_3,41
CP_0194,C_1098,08-02-20,Account balance discrepancies,P_3,56
CP_0195,C_1151,09-02-20,Loan application rejections,P_3,70
CP_0196,C_1431,09-02-20,Account balance discrepancies,P_3,73
CP_0197,C_0505,09-02-20,Unauthorized transactions,P_1,4
CP_0198,C_0346,09-02-20,Loan application rejections,P_3,64
CP_0199,C_1358,09-02-20,Poor customer service,P_3,34
CP_0200,C_1067,10-02-20,Card activation issues,P_1,1
CP_0201,C_1093,10-02-20,Poor customer service,P_3,34
CP_0202,C_1494,10-02-20,Poor customer service,P_3,79
CP_0203,C_1267,10-02-20,Loan application rejections,P_3,51
CP_0204,C_1074,11-02-20,Loan application rejections,P_3,47
CP_0205,C_1491,11-02-20,Loan application rejections,P_3,38
CP_0206,C_0819,11-02-20,Account balance discrepancies,P_3,40
CP_0207,C_0903,11-02-20,Delayed or undelivered statements,P_2,14
CP_0208,C_0131,11-02-20,Loan application rejections,P_3,50
CP_0209,C_0248,11-02-20,Account balance discrepancies,P_3,65
CP_0210,C_0408,12-02-20,Account balance discrepancies,P_3,82
CP_0211,C_0408,12-02-20,Account balance discrepancies,P_3,38
CP_0212,C_0334,12-02-20,ATM withdrawal issues,P_2,10
CP_0213,C_0022,12-02-20,Account balance discrepancies,P_3,81
CP_0214,C_0867,12-02-20,Account balance discrepancies,P_3,33
CP_0215,C_1400,12-02-20,Unauthorized transactions,P_1,1
CP_0216,C_0452,12-02-20,Account balance discrepancies,P_3,25
CP_0217,C_1163,12-02-20,Poor customer service,P_3,65
CP_0218,C_0235,13-02-20,Poor customer service,P_3,61
CP_0219,C_0207,13-02-20,Poor customer service,P_3,78
CP_0220,C_1024,14-02-20,Poor customer service,P_3,45
CP_0221,C_0322,14-02-20,Account balance discrepancies,P_3,85
CP_0222,C_0133,14-02-20,Account closure problems,P_2,14
CP_0223,C_0673,14-02-20,Account balance discrepancies,P_3,50
CP_0224,C_0595,14-02-20,Account balance discrepancies,P_3,94
CP_0225,C_0182,15-02-20,Loan application rejections,P_3,58
CP_0226,C_1395,15-02-20,Poor customer service,P_3,45
CP_0227,C_0274,15-02-20,Loan application rejections,P_3,69
CP_0228,C_0913,15-02-20,Loan application rejections,P_3,61
CP_0229,C_0011,15-02-20,Card activation issues,P_1,3
CP_0230,C_1414,15-02-20,Poor customer service,P_3,43
CP_0231,C_0070,15-02-20,Account balance discrepancies,P_3,38
CP_0232,C_0237,15-02-20,Account balance discrepancies,P_3,41
CP_0233,C_0658,15-02-20,Disputed charges,P_2,14
CP_0234,C_0582,16-02-20,Account balance discrepancies,P_3,98
CP_0235,C_0118,16-02-20,Poor customer service,P_3,98
CP_0236,C_0825,16-02-20,Account balance discrepancies,P_3,25
CP_0237,C_1063,16-02-20,Account balance discrepancies,P_3,69
CP_0238,C_0975,16-02-20,Loan application rejections,P_3,62
CP_0239,C_0268,16-02-20,Account balance discrepancies,P_3,58
CP_0240,C_1057,16-02-20,Loan application rejections,P_3,98
CP_0241,C_0057,16-02-20,Poor customer service,P_3,98
CP_0242,C_1192,16-02-20,Loan application rejections,P_3,29
CP_0243,C_0577,16-02-20,Poor customer service,P_3,69
CP_0244,C_0711,16-02-20,Loan application rejections,P_3,34
CP_0245,C_0658,16-02-20,Loan application rejections,P_3,63
CP_0246,C_0205,17-02-20,Poor customer service,P_3,64
CP_0247,C_1417,17-02-20,Loan application rejections,P_3,38
CP_0248,C_0963,18-02-20,Loan application rejections,P_3,26
CP_0249,C_0943,19-02-20,Account balance discrepancies,P_3,89
CP_0250,C_0125,19-02-20,Poor customer service,P_3,38
CP_0251,C_0231,20-02-20,ATM withdrawal issues,P_2,10
CP_0252,C_0247,20-02-20,Loan application rejections,P_3,71
CP_0253,C_0943,20-02-20,Poor customer service,P_3,81
CP_0254,C_1202,20-02-20,Poor customer service,P_3,61
CP_0255,C_0247,20-02-20,Delayed or undelivered statements,P_2,22
CP_0256,C_0332,21-02-20,Failed online transactions,P_2,24
CP_0257,C_0975,21-02-20,Loan application rejections,P_3,32
CP_0258,C_0976,21-02-20,Loan application rejections,P_3,94
CP_0259,C_0768,21-02-20,Poor customer service,P_3,51
CP_0260,C_0233,21-02-20,Poor customer service,P_3,80
CP_0261,C_0454,21-02-20,Poor customer service,P_3,65
CP_0262,C_0425,22-02-20,Account balance discrepancies,P_3,35
CP_0263,C_0510,22-02-20,Loan application rejections,P_3,63
CP_0264,C_1191,22-02-20,Loan application rejections,P_3,99
CP_0265,C_0234,22-02-20,Account balance discrepancies,P_3,27
CP_0266,C_0930,22-02-20,Account balance discrepancies,P_3,43
CP_0267,C_0871,22-02-20,Account balance discrepancies,P_3,58
CP_0268,C_1016,23-02-20,Account balance discrepancies,P_3,43
CP_0269,C_1239,23-02-20,Delayed or undelivered statements,P_2,18
CP_0270,C_0491,23-02-20,Account balance discrepancies,P_3,35
CP_0271,C_0647,23-02-20,Loan application rejections,P_3,31
CP_0272,C_0157,24-02-20,Card activation issues,P_1,1
CP_0273,C_0493,24-02-20,Account closure problems,P_2,14
CP_0274,C_0049,24-02-20,Account balance discrepancies,P_3,53
CP_0275,C_0915,24-02-20,Poor customer service,P_3,25
CP_0276,C_0360,24-02-20,Poor customer service,P_3,27
CP_0277,C_0285,24-02-20,Poor customer service,P_3,87
CP_0278,C_0916,25-02-20,Loan application rejections,P_3,60
CP_0279,C_1201,25-02-20,Loan application rejections,P_3,52
CP_0280,C_1242,25-02-20,Poor customer service,P_3,94
CP_0281,C_0253,26-02-20,Account balance discrepancies,P_3,97
CP_0282,C_1144,26-02-20,Unauthorized transactions,P_1,4
CP_0283,C_1180,26-02-20,Account balance discrepancies,P_3,39
CP_0284,C_1452,26-02-20,Loan application rejections,P_3,91
CP_0285,C_0497,26-02-20,Poor customer service,P_3,79
CP_0286,C_0794,26-02-20,Poor customer service,P_3,72
CP_0287,C_0839,26-02-20,Loan application rejections,P_3,25
CP_0288,C_0978,27-02-20,Disputed charges,P_2,16
CP_0289,C_0255,27-02-20,Loan application rejections,P_3,42
CP_0290,C_0699,27-02-20,ATM withdrawal issues,P_2,6
CP_0291,C_1151,27-02-20,Account balance discrepancies,P_3,87
CP_0292,C_0760,28-02-20,Loan application rejections,P_3,95
CP_0293,C_0601,28-02-20,Account balance discrepancies,P_3,60
CP_0294,C_0406,29-02-20,Loan application rejections,P_3,100
CP_0295,C_0579,29-02-20,Loan application rejections,P_3,69
CP_0296,C_0505,29-02-20,Poor customer service,P_3,57
CP_0297,C_0438,29-02-20,Poor customer service,P_3,45
CP_0298,C_0607,29-02-20,Failed online transactions,P_2,9
CP_0299,C_0365,01-03-20,Loan application rejections,P_3,62
CP_0300,C_0913,01-03-20,Poor customer service,P_3,33
CP_0301,C_0582,01-03-20,Account balance discrepancies,P_3,84
CP_0302,C_1222,01-03-20,Account balance discrepancies,P_3,56
CP_0303,C_0454,01-03-20,Failed online transactions,P_2,12
CP_0304,C_0874,01-03-20,Poor customer service,P_3,65
CP_0305,C_1087,02-03-20,Account balance discrepancies,P_3,25
CP_0306,C_1036,02-03-20,Account closure problems,P_2,16
CP_0307,C_0286,03-03-20,Loan application rejections,P_3,36
CP_0308,C_0424,03-03-20,Disputed charges,P_2,6
CP_0309,C_0829,03-03-20,Loan application rejections,P_3,75
CP_0310,C_1227,04-03-20,Account balance discrepancies,P_3,90
CP_0311,C_0337,04-03-20,Delayed or undelivered statements,P_2,10
CP_0312,C_0170,05-03-20,Delayed or undelivered statements,P_2,24
CP_0313,C_0174,05-03-20,Poor customer service,P_3,43
CP_0314,C_1047,05-03-20,Loan application rejections,P_3,36
CP_0315,C_0739,05-03-20,Loan application rejections,P_3,85
CP_0316,C_0729,06-03-20,Loan application rejections,P_3,34
CP_0317,C_0423,06-03-20,Poor customer service,P_3,99
CP_0318,C_0852,06-03-20,Loan application rejections,P_3,59
CP_0319,C_0610,06-03-20,Account balance discrepancies,P_3,36
CP_0320,C_0345,06-03-20,Disputed charges,P_2,17
CP_0321,C_0175,07-03-20,Unauthorized transactions,P_1,3
CP_0322,C_1311,07-03-20,Account balance discrepancies,P_3,64
CP_0323,C_0404,07-03-20,Unauthorized transactions,P_1,3
CP_0324,C_0524,07-03-20,Account balance discrepancies,P_3,78
CP_0325,C_1359,08-03-20,Poor customer service,P_3,39
CP_0326,C_0915,08-03-20,Loan application rejections,P_3,54
CP_0327,C_0682,08-03-20,Account balance discrepancies,P_3,96
CP_0328,C_0736,09-03-20,Account balance discrepancies,P_3,43
CP_0329,C_0909,09-03-20,Poor customer service,P_3,69
CP_0330,C_1239,09-03-20,Disputed charges,P_2,17
CP_0331,C_0518,09-03-20,Account balance discrepancies,P_3,82
CP_0332,C_0113,09-03-20,Loan application rejections,P_3,53
CP_0333,C_1425,10-03-20,Account balance discrepancies,P_3,96
CP_0334,C_1438,10-03-20,Account balance discrepancies,P_3,44
CP_0335,C_1206,11-03-20,Loan application rejections,P_3,58
CP_0336,C_0891,11-03-20,Loan application rejections,P_3,92
CP_0337,C_0226,11-03-20,Loan application rejections,P_3,80
CP_0338,C_0908,13-03-20,Account balance discrepancies,P_3,80
CP_0339,C_0811,13-03-20,Loan application rejections,P_3,54
CP_0340,C_0847,13-03-20,Poor customer service,P_3,61
CP_0341,C_0923,13-03-20,Loan application rejections,P_3,93
CP_0342,C_1314,13-03-20,Poor customer service,P_3,88
CP_0343,C_0578,13-03-20,Loan application rejections,P_3,59
CP_0344,C_1321,13-03-20,Loan application rejections,P_3,93
CP_0345,C_1157,14-03-20,Poor customer service,P_3,83
CP_0346,C_1128,14-03-20,Loan application rejections,P_3,41
CP_0347,C_0771,14-03-20,Account balance discrepancies,P_3,96
CP_0348,C_0032,15-03-20,Poor customer service,P_3,25
CP_0349,C_0734,15-03-20,Account balance discrepancies,P_3,61
CP_0350,C_0906,15-03-20,Poor customer service,P_3,29
CP_0351,C_1374,16-03-20,Account balance discrepancies,P_3,28
CP_0352,C_1385,17-03-20,Account balance discrepancies,P_3,49
CP_0353,C_1145,17-03-20,Account balance discrepancies,P_3,75
CP_0354,C_1493,17-03-20,Loan application rejections,P_3,46
CP_0355,C_0892,17-03-20,Card activation issues,P_1,1
CP_0356,C_0588,17-03-20,Loan application rejections,P_3,95
CP_0357,C_0306,17-03-20,Account balance discrepancies,P_3,100
CP_0358,C_1053,18-03-20,Loan application rejections,P_3,72
CP_0359,C_0570,18-03-20,Failed online transactions,P_2,17
CP_0360,C_0614,18-03-20,Loan application rejections,P_3,87
CP_0361,C_1326,18-03-20,Account balance discrepancies,P_3,69
CP_0362,C_1264,19-03-20,Account closure problems,P_2,48
CP_0363,C_0371,19-03-20,Delayed or undelivered statements,P_2,13
CP_0364,C_0886,19-03-20,Disputed charges,P_2,22
CP_0365,C_0138,19-03-20,Account balance discrepancies,P_3,47
CP_0366,C_0367,19-03-20,Poor customer service,P_3,87
CP_0367,C_1332,20-03-20,Poor customer service,P_3,78
CP_0368,C_0372,20-03-20,ATM withdrawal issues,P_2,8
CP_0369,C_0345,20-03-20,Loan application rejections,P_3,27
CP_0370,C_1447,20-03-20,Card activation issues,P_1,1
CP_0371,C_0748,20-03-20,Poor customer service,P_3,43
CP_0372,C_0221,20-03-20,Account balance discrepancies,P_3,41
CP_0373,C_0974,20-03-20,Delayed or undelivered statements,P_2,9
CP_0374,C_0078,20-03-20,Poor customer service,P_3,45
CP_0375,C_1311,21-03-20,Failed online transactions,P_2,13
CP_0376,C_0319,21-03-20,Account balance discrepancies,P_3,70
CP_0377,C_0728,22-03-20,Loan application rejections,P_3,40
CP_0378,C_0436,22-03-20,Loan application rejections,P_3,50
CP_0379,C_1295,22-03-20,Poor customer service,P_3,61
CP_0380,C_1162,22-03-20,Delayed or undelivered statements,P_2,5
CP_0381,C_1348,22-03-20,Poor customer service,P_3,81
CP_0382,C_0062,22-03-20,Poor customer service,P_3,33
CP_0383,C_0525,23-03-20,Account balance discrepancies,P_3,70
CP_0384,C_0946,23-03-20,Poor customer service,P_3,54
CP_0385,C_0702,23-03-20,Loan application rejections,P_3,94
CP_0386,C_1422,23-03-20,Loan application rejections,P_3,93
CP_0387,C_0967,23-03-20,Disputed charges,P_2,13
CP_0388,C_0133,23-03-20,Account balance discrepancies,P_3,38
CP_0389,C_0560,24-03-20,Poor customer service,P_3,31
CP_0390,C_1394,25-03-20,Account balance discrepancies,P_3,65
CP_0391,C_1456,25-03-20,Poor customer service,P_3,86
CP_0392,C_0005,26-03-20,Loan application rejections,P_3,93
CP_0393,C_0913,26-03-20,Account balance discrepancies,P_3,31
CP_0394,C_1310,27-03-20,Account balance discrepancies,P_3,72
CP_0395,C_1316,27-03-20,Failed online transactions,P_2,9
CP_0396,C_0404,27-03-20,ATM withdrawal issues,P_2,9
CP_0397,C_0973,27-03-20,Loan application rejections,P_3,44
CP_0398,C_1247,27-03-20,Account balance discrepancies,P_3,57
CP_0399,C_0250,27-03-20,Loan application rejections,P_3,42
CP_0400,C_0101,27-03-20,Loan application rejections,P_3,41
CP_0401,C_0517,28-03-20,Loan application rejections,P_3,38
CP_0402,C_0738,28-03-20,Account balance discrepancies,P_3,91
CP_0403,C_0739,28-03-20,Loan application rejections,P_3,62
CP_0404,C_1318,28-03-20,Loan application rejections,P_3,27
CP_0405,C_0975,29-03-20,Account balance discrepancies,P_3,44
CP_0406,C_0567,29-03-20,Account balance discrepancies,P_3,80
CP_0407,C_0353,29-03-20,Loan application rejections,P_3,46
CP_0408,C_0266,29-03-20,Account balance discrepancies,P_3,32
CP_0409,C_0650,29-03-20,Poor customer service,P_3,60
CP_0410,C_0685,29-03-20,Account balance discrepancies,P_3,38
CP_0411,C_1155,30-03-20,Loan application rejections,P_3,33
CP_0412,C_0795,30-03-20,Poor customer service,P_3,98
CP_0413,C_0884,30-03-20,Account balance discrepancies,P_3,59
CP_0414,C_0068,30-03-20,Loan application rejections,P_3,80
CP_0415,C_0470,30-03-20,Poor customer service,P_3,41
CP_0416,C_1034,31-03-20,Account balance discrepancies,P_3,40
CP_0417,C_1035,31-03-20,Loan application rejections,P_3,53
CP_0418,C_1363,31-03-20,ATM withdrawal issues,P_2,23
CP_0419,C_0531,01-04-20,Loan application rejections,P_3,86
CP_0420,C_0021,01-04-20,Loan application rejections,P_3,84
CP_0421,C_0856,01-04-20,Account balance discrepancies,P_3,45
CP_0422,C_1285,01-04-20,Failed online transactions,P_2,20
CP_0423,C_1433,02-04-20,Loan application rejections,P_3,98
CP_0424,C_1434,02-04-20,ATM withdrawal issues,P_2,11
CP_0425,C_1101,03-04-20,Poor customer service,P_3,55
CP_0426,C_0202,03-04-20,Account balance discrepancies,P_3,49
CP_0427,C_1122,03-04-20,Account balance discrepancies,P_3,71
CP_0428,C_0917,03-04-20,Loan application rejections,P_3,88
CP_0429,C_1226,03-04-20,Account balance discrepancies,P_3,57
CP_0430,C_0441,03-04-20,Loan application rejections,P_3,53
CP_0431,C_0085,04-04-20,Loan application rejections,P_3,51
CP_0432,C_0333,04-04-20,Account balance discrepancies,P_3,90
CP_0433,C_0387,04-04-20,Account balance discrepancies,P_3,25
CP_0434,C_1248,04-04-20,Poor customer service,P_3,86
CP_0435,C_0294,05-04-20,Poor customer service,P_3,28
CP_0436,C_1170,05-04-20,Account balance discrepancies,P_3,31
CP_0437,C_1362,05-04-20,Loan application rejections,P_3,92
CP_0438,C_0863,05-04-20,Account balance discrepancies,P_3,34
CP_0439,C_1222,05-04-20,Loan application rejections,P_3,60
CP_0440,C_0540,05-04-20,Delayed or undelivered statements,P_2,16
CP_0441,C_0613,06-04-20,Loan application rejections,P_3,34
CP_0442,C_0689,06-04-20,Loan application rejections,P_3,53
