Account_SKey,Account_ID,Customer_ID,Account_Type,Balance,Account_Open Date,Account_End Date,Status 
SA_0323,AC_0323,C_0871,Credit Card,3691.67,23-01-20,,Active
SA_0324,AC_0324,C_0801,Mortgages,55526.53,23-01-20,,Active
SA_0325,AC_0325,C_0904,Debit Card,83992.09,23-01-20,,Active
SA_0326,AC_0326,C_0250,Saving Account,96893.79,23-01-20,,Active
SA_0327,AC_0327,C_0694,Checking Account,55601.44,23-01-20,,Active
SA_0328,AC_0328,C_0757,Fixed Deposit,24291.735,23-01-20,,Active
SA_0329,AC_0329,C_1432,Checking Account,90745.2,23-01-20,,Active
SA_0330,AC_0330,C_1176,Fixed Deposit,97410.18,23-01-20,,Active
SA_0331,AC_0331,C_0628,Fixed Deposit,129333.51,23-01-20,,Active
SA_0332,AC_0332,C_0852,Certificate of Deposit,218993.955,23-01-20,,Active
SA_0333,AC_0333,C_0276,Fixed Deposit,105339.9,24-01-20, ,Closed
SA_0334,AC_0334,C_0905,Mortgages,145524.36,24-01-20,,Active
SA_0335,AC_0335,C_1210,Credit Card,20418.585,24-01-20,,Active
SA_0336,AC_0336,C_0909,Mortgages,34831.485,24-01-20,,Active
SA_0337,AC_0337,C_1003,Hire Purchase,54910.845,24-01-20,,Active
SA_0338,AC_0338,C_0055,Saving Account,69152.93,25-01-20,,Active
SA_0339,AC_0339,C_0056,Mortgages,24187.98,25-01-20,,Active
SA_0340,AC_0340,C_1185,Hire Purchase,39380.29,25-01-20,,Active
SA_0341,AC_0341,C_0768,Saving Account,3516.35,25-01-20,,Active
SA_0342,AC_0342,C_0099,Debit Card,89416.995,25-01-20,,Active
SA_0343,AC_0343,C_0431,Checking Account,18858.69,26-01-20, ,Closed
SA_0344,AC_0344,C_0652,Certificate of Deposit,28272.45,26-01-20,08-12-21,Closed
SA_0345,AC_0345,C_1041,Credit Card,48247.85,26-01-20, ,Closed
SA_0346,AC_0346,C_1361,Hire Purchase,46065.96,26-01-20,21-04-21,Closed
SA_0347,AC_0347,C_0623,Credit Card,110688.19,26-01-20, ,Closed
SA_0348,AC_0348,C_0922,Fixed Deposit,115268.86,26-01-20, ,Closed
