Customer_Skey,Customer_ID,Branch_ID,Employee_ID,Age,Age_Level,Occupation,Income,Income_Level,Record_Created Datetime,Record_Modifed Datetime
SC_0037,C_0037,B_1,E_133,22,Adult,Student,40368,Low income,15-01-20,
SC_0038,C_0038,B_6,E_140,29,Adult,Unemployed,248446,Highest tax brackets,16-01-20,
SC_0039,C_0039,B_9,E_038,18,Adult,Student,26943,Low income,16-01-20,
SC_0040,C_0040,B_12,E_010,41,Middle Aged,Retired,25509,Low income,16-01-20,
SC_0041,C_0041,B_14,E_102,14,Youth,Student,136384,Middle class,17-01-20,
SC_0042,C_0042,B_10,E_132,77,Senior,Retired,120277,Middle class,17-01-20,
SC_0043,C_0043,B_1,E_100,26,Adult,Employed,465326,Highest tax brackets,18-01-20,
SC_0044,C_0044,B_15,E_019,23,Adult,Unemployed,103634,Middle class,18-01-20,
SC_0045,C_0045,B_3,E_044,44,Middle Aged,Retired,138371,Middle class,19-01-20,
SC_0046,C_0046,B_13,E_149,15,Youth,Student,24283,Low income,19-01-20,
SC_0047,C_0047,B_14,E_095,50,Middle Aged,Self-employed,290208,Highest tax brackets,20-01-20,
SC_0048,C_0048,B_7,E_048,26,Adult,Employed,186272,High income,20-01-20,
SC_0049,C_0049,B_10,E_145,32,Middle Aged,Self-employed,201062,Highest tax brackets,21-01-20,
SC_0050,C_0050,B_15,E_064,10,Youth,Student,131916,Middle class,21-01-20,
SC_0051,C_0051,B_10,E_089,18,Adult,Unemployed,54440,Middle class,22-01-20,
SC_0052,C_0052,B_10,E_109,26,Adult,Employed,280215,Highest tax brackets,22-01-20,
SC_0053,C_0053,B_6,E_065,15,Youth,Student,21439,Low income,23-01-20,
SC_0054,C_0054,B_8,E_128,26,Adult,Unemployed,54164,Middle class,23-01-20,
SC_0055,C_0055,B_7,E_130,93,Senior,Retired,219446,Highest tax brackets,23-01-20,
SC_0056,C_0056,B_13,E_081,93,Senior,Retired,110677,Middle class,25-01-20,
SC_0057,C_0057,B_12,E_010,32,Middle Aged,Employed,145985,Upper middle class,25-01-20,
SC_0058,C_0058,B_9,E_082,33,Middle Aged,Self-employed,382078,Highest tax brackets,26-01-20,
SC_0059,C_0059,B_15,E_113,10,Youth,Student,87721,Middle class,26-01-20,
SC_0060,C_0060,B_8,E_053,8,Youth,Student,26970,Low income,26-01-20,
SC_0061,C_0061,B_11,E_007,47,Middle Aged,Employed,101135,Middle class,26-01-20,
SC_0062,C_0062,B_11,E_062,13,Youth,Student,118429,Middle class,28-01-20,
SC_0063,C_0063,B_7,E_056,24,Adult,Employed,31208,Low income,28-01-20,
SC_0064,C_0064,B_5,E_024,37,Middle Aged,Employed,281384,Highest tax brackets,29-01-20,
SC_0065,C_0065,B_6,E_054,47,Middle Aged,Employed,171807,High income,29-01-20,
SC_0066,C_0066,B_8,E_053,34,Middle Aged,Self-employed,109912,Middle class,29-01-20,
SC_0067,C_0067,B_12,E_131,28,Adult,Unemployed,445382,Highest tax brackets,30-01-20,
SC_0068,C_0068,B_2,E_098,33,Middle Aged,Self-employed,105460,Middle class,30-01-20,
SC_0069,C_0069,B_7,E_050,18,Adult,Employed,170338,High income,30-01-20,
SC_0070,C_0070,B_9,E_086,13,Youth,Student,102606,Middle class,31-01-20,
SC_0071,C_0071,B_10,E_089,12,Youth,Student,32388,Low income,01-02-20,
SC_0072,C_0072,B_12,E_009,57,Middle Aged,Self-employed,175622,High income,01-02-20,
SC_0073,C_0073,B_11,E_126,17,Youth,Student,22963,Low income,01-02-20,
SC_0074,C_0074,B_8,E_051,26,Adult,Employed,388946,Highest tax brackets,02-02-20,
SC_0075,C_0075,B_11,E_120,81,Senior,Retired,269034,Highest tax brackets,02-02-20,
SC_0076,C_0076,B_9,E_038,45,Middle Aged,Employed,165361,High income,02-02-20,
SC_0077,C_0077,B_12,E_073,48,Middle Aged,Employed,75012,Middle class,03-02-20,
SC_0078,C_0078,B_13,E_041,53,Middle Aged,Self-employed,174379,High income,03-02-20,
SC_0079,C_0079,B_2,E_005,28,Adult,Employed,312477,Highest tax brackets,03-02-20,
SC_0080,C_0080,B_12,E_131,33,Middle Aged,Self-employed,72055,Middle class,04-02-20,
SC_0081,C_0081,B_5,E_031,29,Adult,Unemployed,67001,Middle class,05-02-20,
SC_0082,C_0082,B_10,E_109,95,Senior,Retired,213734,Highest tax brackets,06-02-20,
SC_0083,C_0083,B_10,E_145,41,Middle Aged,Employed,83141,Middle class,06-02-20,
SC_0084,C_0084,B_9,E_086,40,Middle Aged,Employed,223881,Highest tax brackets,06-02-20,
SC_0085,C_0085,B_13,E_110,46,Middle Aged,Self-employed,113752,Middle class,06-02-20,
SC_0086,C_0086,B_15,E_092,8,Youth,Student,17048,Below or near poverty level,06-02-20,
SC_0087,C_0087,B_11,E_120,35,Middle Aged,Self-employed,244689,Highest tax brackets,06-02-20,
SC_0088,C_0088,B_11,E_099,28,Adult,Unemployed,160631,High income,07-02-20,
SC_0089,C_0089,B_2,E_143,71,Senior,Employed,228724,Highest tax brackets,07-02-20,
SC_0090,C_0090,B_5,E_121,41,Middle Aged,Employed,38434,Low income,07-02-20,
SC_0091,C_0091,B_4,E_127,25,Adult,Employed,292946,Highest tax brackets,07-02-20,
SC_0092,C_0092,B_9,E_082,44,Middle Aged,Self-employed,77443,Middle class,07-02-20,
SC_0093,C_0093,B_12,E_036,41,Middle Aged,Self-employed,176410,High income,08-02-20,
SC_0094,C_0094,B_5,E_024,48,Middle Aged,Self-employed,98984,Middle class,08-02-20,
SC_0095,C_0095,B_12,E_016,31,Middle Aged,Employed,198751,High income,08-02-20,
SC_0096,C_0096,B_15,E_035,33,Middle Aged,Employed,479296,Highest tax brackets,08-02-20,
SC_0097,C_0097,B_10,E_109,60,Senior,Employed,235218,Highest tax brackets,08-02-20,
SC_0098,C_0098,B_1,E_129,37,Middle Aged,Employed,164877,High income,08-02-20,
SC_0099,C_0099,B_4,E_055,42,Middle Aged,Self-employed,272087,Highest tax brackets,08-02-20,
SC_0100,C_0100,B_12,E_150,25,Adult,Student,169699,High income,08-02-20,
SC_0101,C_0101,B_1,E_139,8,Youth,Student,189762,High income,09-02-20,
SC_0102,C_0102,B_5,E_121,11,Youth,Student,20219,Low income,09-02-20,
SC_0103,C_0103,B_2,E_098,10,Youth,Student,21226,Low income,10-02-20,
SC_0104,C_0104,B_5,E_108,21,Adult,Unemployed,301568,Highest tax brackets,11-02-20,
SC_0105,C_0105,B_3,E_096,24,Adult,Unemployed,155233,High income,11-02-20,
SC_0106,C_0106,B_14,E_102,23,Adult,Employed,75826,Middle class,11-02-20,
SC_0107,C_0107,B_3,E_044,41,Middle Aged,Self-employed,201520,Highest tax brackets,11-02-20,
SC_0108,C_0108,B_5,E_108,44,Middle Aged,Self-employed,154236,High income,12-02-20,
SC_0109,C_0109,B_10,E_071,32,Middle Aged,Employed,289227,Highest tax brackets,12-02-20,
SC_0110,C_0110,B_12,E_073,22,Adult,Unemployed,217439,Highest tax brackets,12-02-20,
SC_0111,C_0111,B_2,E_098,10,Youth,Student,17902,Below or near poverty level,13-02-20,
SC_0112,C_0112,B_10,E_145,48,Middle Aged,Self-employed,149624,Upper middle class,13-02-20,
SC_0113,C_0113,B_11,E_023,27,Adult,Unemployed,337266,Highest tax brackets,13-02-20,
SC_0114,C_0114,B_4,E_055,39,Middle Aged,Self-employed,30796,Low income,14-02-20,
SC_0115,C_0115,B_1,E_101,73,Senior,Retired,103541,Middle class,16-02-20,
SC_0116,C_0116,B_13,E_029,14,Youth,Student,20672,Low income,16-02-20,
SC_0117,C_0117,B_8,E_106,26,Adult,Employed,96773,Middle class,17-02-20,
SC_0118,C_0118,B_10,E_089,41,Middle Aged,Self-employed,200967,Highest tax brackets,17-02-20,
SC_0119,C_0119,B_6,E_140,46,Middle Aged,Self-employed,180019,High income,17-02-20,
SC_0120,C_0120,B_2,E_005,52,Middle Aged,Self-employed,179866,High income,17-02-20,
SC_0121,C_0121,B_3,E_074,27,Adult,Employed,198770,High income,18-02-20,
SC_0122,C_0122,B_15,E_001,47,Middle Aged,Employed,219256,Highest tax brackets,19-02-20,
SC_0123,C_0123,B_4,E_094,58,Middle Aged,Employed,248730,Highest tax brackets,19-02-20,
SC_0124,C_0124,B_3,E_074,22,Adult,Student,110732,Middle class,19-02-20,
SC_0125,C_0125,B_1,E_077,21,Adult,Student,181020,High income,19-02-20,
SC_0126,C_0126,B_6,E_021,25,Adult,Employed,183791,High income,19-02-20,
SC_0127,C_0127,B_15,E_001,55,Middle Aged,Self-employed,42972,Low income,20-02-20,
SC_0128,C_0128,B_7,E_097,12,Youth,Student,134813,Middle class,20-02-20,
SC_0129,C_0129,B_10,E_043,46,Middle Aged,Employed,115438,Middle class,21-02-20,
SC_0130,C_0130,B_8,E_135,82,Senior,Self-employed,239296,Highest tax brackets,21-02-20,
SC_0131,C_0131,B_8,E_046,29,Adult,Unemployed,428420,Highest tax brackets,21-02-20,
SC_0132,C_0132,B_9,E_086,43,Middle Aged,Employed,247846,Highest tax brackets,21-02-20,
SC_0133,C_0133,B_5,E_002,61,Senior,Retired,334105,Highest tax brackets,21-02-20,
SC_0134,C_0134,B_8,E_106,27,Adult,Employed,100793,Middle class,21-02-20,
SC_0135,C_0135,B_3,E_134,54,Middle Aged,Employed,244478,Highest tax brackets,22-02-20,
SC_0136,C_0136,B_5,E_121,13,Youth,Student,142921,Upper middle class,22-02-20,
SC_0137,C_0137,B_1,E_139,32,Middle Aged,Self-employed,182863,High income,22-02-20,
SC_0138,C_0138,B_7,E_067,27,Adult,Employed,171128,High income,22-02-20,
SC_0139,C_0139,B_9,E_072,28,Adult,Employed,145402,Upper middle class,23-02-20,
SC_0140,C_0140,B_11,E_032,26,Adult,Unemployed,306309,Highest tax brackets,23-02-20,
SC_0141,C_0141,B_6,E_033,21,Adult,Student,83822,Middle class,23-02-20,
SC_0142,C_0142,B_8,E_046,58,Middle Aged,Employed,262118,Highest tax brackets,23-02-20,
SC_0143,C_0143,B_12,E_025,30,Middle Aged,Self-employed,155972,High income,23-02-20,
SC_0144,C_0144,B_1,E_133,15,Youth,Student,21450,Low income,24-02-20,
SC_0145,C_0145,B_14,E_069,9,Youth,Student,159303,High income,24-02-20,
SC_0146,C_0146,B_8,E_138,58,Middle Aged,Employed,174995,High income,24-02-20,
SC_0147,C_0147,B_12,E_025,45,Middle Aged,Self-employed,26669,Low income,25-02-20,
SC_0148,C_0148,B_4,E_103,21,Adult,Unemployed,177727,High income,25-02-20,
SC_0149,C_0149,B_7,E_015,29,Adult,Employed,124771,Middle class,26-02-20,
SC_0150,C_0150,B_15,E_035,53,Middle Aged,Self-employed,456736,Highest tax brackets,26-02-20,
SC_0151,C_0151,B_12,E_016,52,Middle Aged,Self-employed,216604,Highest tax brackets,26-02-20,
SC_0152,C_0152,B_3,E_018,65,Senior,Self-employed,221561,Highest tax brackets,27-02-20,
SC_0153,C_0153,B_7,E_050,22,Adult,Student,114564,Middle class,27-02-20,
SC_0154,C_0154,B_6,E_021,59,Middle Aged,Employed,315476,Highest tax brackets,27-02-20,
SC_0155,C_0155,B_7,E_050,67,Senior,Self-employed,67874,Middle class,28-02-20,
SC_0156,C_0156,B_13,E_008,25,Adult,Unemployed,126110,Middle class,28-02-20,
SC_0157,C_0157,B_12,E_131,47,Middle Aged,Employed,102264,Middle class,29-02-20,
SC_0158,C_0158,B_5,E_061,19,Adult,Unemployed,537222,Highest tax brackets,29-02-20,
SC_0159,C_0159,B_13,E_029,40,Middle Aged,Self-employed,113732,Middle class,01-03-20,
SC_0160,C_0160,B_12,E_016,43,Middle Aged,Self-employed,93225,Middle class,01-03-20,
SC_0161,C_0161,B_8,E_053,18,Adult,Student,43064,Low income,02-03-20,
SC_0162,C_0162,B_9,E_148,35,Middle Aged,Employed,136921,Middle class,02-03-20,
SC_0163,C_0163,B_7,E_050,48,Middle Aged,Employed,388885,Highest tax brackets,02-03-20,
SC_0164,C_0164,B_14,E_119,8,Youth,Student,142249,Upper middle class,02-03-20,
SC_0165,C_0165,B_4,E_127,24,Adult,Student,56841,Middle class,02-03-20,
SC_0166,C_0166,B_8,E_128,25,Adult,Student,156493,High income,03-03-20,
SC_0167,C_0167,B_15,E_088,54,Middle Aged,Employed,159021,High income,03-03-20,
SC_0168,C_0168,B_7,E_015,11,Youth,Student,190910,High income,03-03-20,
SC_0169,C_0169,B_5,E_014,22,Adult,Unemployed,41879,Low income,03-03-20,
SC_0170,C_0170,B_15,E_088,34,Middle Aged,Employed,137249,Middle class,04-03-20,
SC_0171,C_0171,B_4,E_127,49,Middle Aged,Employed,236157,Highest tax brackets,04-03-20,
SC_0172,C_0172,B_1,E_006,15,Youth,Student,189759,High income,04-03-20,
SC_0173,C_0173,B_14,E_119,16,Youth,Employed,239877,Highest tax brackets,04-03-20,
SC_0174,C_0174,B_1,E_139,34,Middle Aged,Employed,21175,Low income,04-03-20,
SC_0175,C_0175,B_14,E_095,58,Middle Aged,Self-employed,67229,Middle class,04-03-20,
SC_0176,C_0176,B_3,E_063,42,Middle Aged,Employed,236391,Highest tax brackets,04-03-20,
SC_0177,C_0177,B_1,E_101,54,Middle Aged,Self-employed,325596,Highest tax brackets,05-03-20,
SC_0178,C_0178,B_1,E_100,36,Middle Aged,Employed,83411,Middle class,07-03-20,
SC_0179,C_0179,B_15,E_019,62,Senior,Self-employed,154227,High income,08-03-20,
SC_0180,C_0180,B_5,E_061,27,Adult,Employed,248010,Highest tax brackets,08-03-20,
SC_0181,C_0181,B_7,E_011,52,Middle Aged,Self-employed,198613,High income,10-03-20,
SC_0182,C_0182,B_6,E_033,34,Middle Aged,Self-employed,321529,Highest tax brackets,10-03-20,
SC_0183,C_0183,B_13,E_008,51,Middle Aged,Self-employed,168524,High income,11-03-20,
SC_0184,C_0184,B_11,E_120,19,Adult,Employed,203079,Highest tax brackets,11-03-20,
SC_0185,C_0185,B_1,E_115,46,Middle Aged,Employed,284652,Highest tax brackets,11-03-20,
SC_0186,C_0186,B_13,E_068,23,Adult,Employed,201368,Highest tax brackets,11-03-20,
SC_0187,C_0187,B_7,E_146,13,Youth,Student,59840,Middle class,11-03-20,
SC_0188,C_0188,B_3,E_074,23,Adult,Student,52753,Middle class,12-03-20,
SC_0189,C_0189,B_11,E_032,35,Middle Aged,Self-employed,513100,Highest tax brackets,13-03-20,
SC_0190,C_0190,B_5,E_061,58,Middle Aged,Employed,199266,High income,13-03-20,
SC_0191,C_0191,B_15,E_001,40,Middle Aged,Self-employed,196385,High income,13-03-20,
SC_0192,C_0192,B_5,E_002,45,Middle Aged,Employed,78205,Middle class,13-03-20,
SC_0193,C_0193,B_2,E_049,26,Adult,Employed,411047,Highest tax brackets,14-03-20,
SC_0194,C_0194,B_4,E_103,21,Adult,Unemployed,48574,Middle class,15-03-20,
SC_0195,C_0195,B_15,E_037,62,Senior,Retired,209440,Highest tax brackets,15-03-20,
SC_0196,C_0196,B_4,E_094,89,Senior,Retired,56964,Middle class,15-03-20,
SC_0197,C_0197,B_5,E_061,26,Adult,Employed,299197,Highest tax brackets,16-03-20,
SC_0198,C_0198,B_15,E_037,31,Middle Aged,Self-employed,240628,Highest tax brackets,17-03-20,
SC_0199,C_0199,B_3,E_017,8,Youth,Student,35531,Low income,18-03-20,
SC_0200,C_0200,B_15,E_001,90,Senior,Self-employed,132267,Middle class,18-03-20,
SC_0201,C_0201,B_11,E_007,26,Adult,Unemployed,174861,High income,18-03-20,
SC_0202,C_0202,B_6,E_076,24,Adult,Student,142443,Upper middle class,18-03-20,
SC_0203,C_0203,B_12,E_057,57,Middle Aged,Self-employed,26716,Low income,18-03-20,
SC_0204,C_0204,B_2,E_117,35,Middle Aged,Employed,185588,High income,18-03-20,
SC_0205,C_0205,B_10,E_013,12,Youth,Student,175029,High income,19-03-20,
SC_0206,C_0206,B_2,E_049,52,Middle Aged,Employed,34848,Low income,19-03-20,
SC_0207,C_0207,B_2,E_117,42,Middle Aged,Self-employed,411273,Highest tax brackets,19-03-20,
SC_0208,C_0208,B_4,E_127,21,Adult,Employed,143437,Upper middle class,20-03-20,
SC_0209,C_0209,B_13,E_008,19,Adult,Employed,357145,Highest tax brackets,20-03-20,
SC_0210,C_0210,B_3,E_018,37,Middle Aged,Employed,236861,Highest tax brackets,21-03-20,
SC_0211,C_0211,B_11,E_007,18,Adult,Unemployed,53355,Middle class,21-03-20,
SC_0212,C_0212,B_3,E_144,50,Middle Aged,Employed,29106,Low income,21-03-20,
SC_0213,C_0213,B_1,E_020,15,Youth,Student,21327,Low income,21-03-20,
SC_0214,C_0214,B_12,E_073,34,Middle Aged,Self-employed,22463,Low income,22-03-20,
SC_0215,C_0215,B_1,E_139,32,Middle Aged,Employed,180497,High income,22-03-20,
SC_0216,C_0216,B_6,E_065,31,Middle Aged,Unemployed,37306,Low income,22-03-20,
SC_0217,C_0217,B_4,E_103,12,Youth,Student,137814,Middle class,24-03-20,
SC_0218,C_0218,B_12,E_057,8,Youth,Student,44748,Low income,25-03-20,
SC_0219,C_0219,B_14,E_142,30,Middle Aged,Employed,220915,Highest tax brackets,25-03-20,
SC_0220,C_0220,B_10,E_013,8,Youth,Student,42251,Low income,25-03-20,
SC_0221,C_0221,B_7,E_048,23,Adult,Student,162312,High income,25-03-20,
SC_0222,C_0222,B_1,E_101,26,Adult,Student,77698,Middle class,25-03-20,
SC_0223,C_0223,B_5,E_031,88,Senior,Self-employed,282951,Highest tax brackets,26-03-20,
SC_0224,C_0224,B_14,E_102,95,Senior,Employed,311259,Highest tax brackets,26-03-20,
SC_0225,C_0225,B_15,E_088,15,Youth,Student,65479,Middle class,26-03-20,
SC_0226,C_0226,B_13,E_008,11,Youth,Student,27725,Low income,26-03-20,
SC_0227,C_0227,B_1,E_006,53,Middle Aged,Employed,312088,Highest tax brackets,27-03-20,
SC_0228,C_0228,B_9,E_038,16,Youth,Student,169719,High income,27-03-20,
SC_0229,C_0229,B_14,E_052,58,Middle Aged,Employed,270276,Highest tax brackets,27-03-20,
SC_0230,C_0230,B_5,E_024,34,Middle Aged,Self-employed,172744,High income,28-03-20,
SC_0231,C_0231,B_7,E_067,53,Middle Aged,Unemployed,96869,Middle class,28-03-20,
SC_0232,C_0232,B_10,E_079,31,Middle Aged,Self-employed,237943,Highest tax brackets,29-03-20,
SC_0233,C_0233,B_14,E_069,17,Youth,Student,119751,Middle class,29-03-20,
SC_0234,C_0234,B_1,E_006,23,Adult,Student,23686,Low income,30-03-20,
SC_0235,C_0235,B_10,E_013,11,Youth,Student,20109,Low income,30-03-20,
SC_0236,C_0236,B_1,E_139,49,Middle Aged,Self-employed,147215,Upper middle class,31-03-20,
SC_0237,C_0237,B_15,E_113,57,Middle Aged,Self-employed,152373,High income,31-03-20,
SC_0238,C_0238,B_6,E_140,26,Adult,Unemployed,227968,Highest tax brackets,31-03-20,
SC_0239,C_0239,B_7,E_011,26,Adult,Employed,362617,Highest tax brackets,01-04-20,
SC_0240,C_0240,B_9,E_072,66,Senior,Employed,103435,Middle class,01-04-20,
SC_0241,C_0241,B_14,E_052,17,Youth,Student,28141,Low income,01-04-20,
SC_0242,C_0242,B_9,E_038,15,Youth,Student,105239,Middle class,01-04-20,
SC_0243,C_0243,B_1,E_133,21,Adult,Unemployed,230165,Highest tax brackets,02-04-20,
SC_0244,C_0244,B_8,E_051,88,Senior,Employed,55493,Middle class,02-04-20,
SC_0245,C_0245,B_2,E_143,14,Youth,Student,104443,Middle class,02-04-20,
SC_0246,C_0246,B_3,E_028,17,Youth,Employed,110342,Middle class,02-04-20,
SC_0247,C_0247,B_15,E_088,58,Middle Aged,Self-employed,143385,Upper middle class,03-04-20,
SC_0248,C_0248,B_3,E_144,16,Youth,Student,107189,Middle class,03-04-20,
SC_0249,C_0249,B_10,E_043,49,Middle Aged,Employed,212944,Highest tax brackets,03-04-20,
SC_0250,C_0250,B_2,E_143,49,Middle Aged,Unemployed,138634,Middle class,03-04-20,
SC_0251,C_0251,B_14,E_052,19,Adult,Student,99970,Middle class,04-04-20,
SC_0252,C_0252,B_4,E_103,40,Middle Aged,Self-employed,203717,Highest tax brackets,04-04-20,
SC_0253,C_0253,B_3,E_144,53,Middle Aged,Self-employed,313956,Highest tax brackets,05-04-20,
SC_0254,C_0254,B_8,E_083,26,Adult,Employed,177937,High income,06-04-20,
SC_0255,C_0255,B_9,E_086,24,Adult,Student,193868,High income,07-04-20,
SC_0256,C_0256,B_1,E_139,26,Adult,Employed,250939,Highest tax brackets,07-04-20,
SC_0257,C_0257,B_10,E_012,32,Middle Aged,Unemployed,57629,Middle class,08-04-20,
SC_0258,C_0258,B_12,E_073,22,Adult,Student,28176,Low income,08-04-20,
SC_0259,C_0259,B_7,E_097,21,Adult,Employed,260782,Highest tax brackets,08-04-20,
SC_0260,C_0260,B_6,E_054,17,Youth,Student,24376,Low income,09-04-20,
SC_0261,C_0261,B_3,E_027,18,Adult,Student,109937,Middle class,09-04-20,
SC_0262,C_0262,B_2,E_098,56,Middle Aged,Employed,134890,Middle class,09-04-20,
SC_0263,C_0263,B_6,E_137,18,Adult,Unemployed,100293,Middle class,10-04-20,
SC_0264,C_0264,B_3,E_044,58,Middle Aged,Unemployed,132179,Middle class,11-04-20,
SC_0265,C_0265,B_9,E_118,28,Adult,Student,116372,Middle class,11-04-20,
SC_0266,C_0266,B_1,E_139,15,Youth,Student,25541,Low income,13-04-20,
SC_0267,C_0267,B_5,E_002,11,Youth,Student,195789,High income,13-04-20,
SC_0268,C_0268,B_11,E_007,8,Youth,Student,34240,Low income,13-04-20,
SC_0269,C_0269,B_2,E_005,20,Adult,Student,65481,Middle class,14-04-20,
SC_0270,C_0270,B_5,E_121,26,Adult,Unemployed,33085,Low income,14-04-20,
SC_0271,C_0271,B_5,E_121,47,Middle Aged,Unemployed,177221,High income,14-04-20,
SC_0272,C_0272,B_12,E_009,11,Youth,Student,65325,Middle class,14-04-20,
SC_0273,C_0273,B_6,E_047,94,Senior,Self-employed,118944,Middle class,14-04-20,
SC_0274,C_0274,B_5,E_061,87,Senior,Self-employed,149337,Upper middle class,14-04-20,
SC_0275,C_0275,B_9,E_038,62,Senior,Retired,237868,Highest tax brackets,15-04-20,
SC_0276,C_0276,B_12,E_141,25,Adult,Employed,106183,Middle class,15-04-20,
SC_0277,C_0277,B_4,E_039,94,Senior,Self-employed,226388,Highest tax brackets,15-04-20,
SC_0278,C_0278,B_10,E_125,29,Adult,Employed,220754,Highest tax brackets,15-04-20,
SC_0279,C_0279,B_15,E_091,21,Adult,Student,20402,Low income,16-04-20,
SC_0280,C_0280,B_13,E_029,49,Middle Aged,Unemployed,347391,Highest tax brackets,16-04-20,
SC_0281,C_0281,B_13,E_026,31,Middle Aged,Self-employed,413930,Highest tax brackets,16-04-20,
SC_0282,C_0282,B_12,E_009,15,Youth,Student,174201,High income,16-04-20,
SC_0283,C_0283,B_3,E_028,23,Adult,Unemployed,145917,Upper middle class,16-04-20,
SC_0284,C_0284,B_13,E_029,21,Adult,Unemployed,241797,Highest tax brackets,18-04-20,
SC_0285,C_0285,B_13,E_149,25,Adult,Unemployed,265168,Highest tax brackets,18-04-20,
SC_0286,C_0286,B_7,E_067,77,Senior,Retired,171234,High income,18-04-20,
SC_0287,C_0287,B_4,E_055,20,Adult,Employed,178452,High income,19-04-20,
SC_0288,C_0288,B_5,E_031,20,Adult,Student,157857,High income,19-04-20,
SC_0289,C_0289,B_3,E_144,41,Middle Aged,Unemployed,512864,Highest tax brackets,19-04-20,
SC_0290,C_0290,B_12,E_057,78,Senior,Retired,296462,Highest tax brackets,20-04-20,
SC_0291,C_0291,B_2,E_143,13,Youth,Student,171615,High income,20-04-20,
SC_0292,C_0292,B_15,E_019,20,Adult,Employed,214071,Highest tax brackets,21-04-20,
SC_0293,C_0293,B_15,E_035,20,Adult,Employed,172421,High income,21-04-20,
SC_0294,C_0294,B_8,E_051,15,Youth,Student,195488,High income,21-04-20,
SC_0295,C_0295,B_1,E_020,47,Middle Aged,Employed,316841,Highest tax brackets,21-04-20,
SC_0296,C_0296,B_13,E_041,42,Middle Aged,Self-employed,236267,Highest tax brackets,21-04-20,
SC_0297,C_0297,B_11,E_040,22,Adult,Unemployed,236543,Highest tax brackets,22-04-20,
